[4/17/23 11:00AM] Nexthokage used command ::starter | Player rights = PLAYER	
[4/17/23 11:04AM] Nexthokage used command ::ref fpk | Player rights = PLAYER	
[4/17/23 11:04AM] Nexthokage used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:05AM] Nexthokage used command ::home | Player rights = PLAYER	
[4/17/23 11:07AM] Nexthokage used command ::starter | Player rights = PLAYER	
[4/17/23 11:09AM] Nexthokage used command ::medium | Player rights = PLAYER	
[4/17/23 11:10AM] Nexthokage used command ::medium | Player rights = PLAYER	
[4/17/23 11:10AM] Nexthokage used command ::meruem | Player rights = PLAYER	
[4/17/23 11:11AM] Nexthokage used command ::train | Player rights = PLAYER	
[4/17/23 11:11AM] Nexthokage used command ::progression | Player rights = PLAYER	
[4/17/23 11:11AM] Nexthokage used command ::tasks | Player rights = PLAYER	
[4/17/23 11:14AM] Nexthokage used command ::train | Player rights = PLAYER	
[4/17/23 11:19AM] Nexthokage used command ::train | Player rights = PLAYER	
[4/17/23 11:33AM] Nexthokage used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:45AM] Nexthokage used command ::train | Player rights = PLAYER	
[4/17/23 11:46AM] Nexthokage used command ::home | Player rights = PLAYER	
[4/17/23 11:52AM] Nexthokage used command ::merium | Player rights = PLAYER	
[4/17/23 11:52AM] Nexthokage used command ::meruem | Player rights = PLAYER	
[4/17/23 11:54AM] Nexthokage used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] Nexthokage used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] Nexthokage used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:56AM] Nexthokage used command ::tasks | Player rights = PLAYER	
[4/17/23 11:56AM] Nexthokage used command ::vboss | Player rights = PLAYER	
[4/17/23 12:02PM] Nexthokage used command ::veiigar | Player rights = PLAYER	
[4/17/23 12:02PM] Nexthokage used command ::veigar | Player rights = PLAYER	
[4/17/23 12:03PM] Nexthokage used command ::vote | Player rights = PLAYER	
[4/17/23 12:04PM] Nexthokage used command ::claimvotes | Player rights = PLAYER	
[4/17/23 12:04PM] Nexthokage used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 12:04PM] Nexthokage used command ::reward all | Player rights = PLAYER	
[4/17/23 12:04PM] Nexthokage used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 12:05PM] Nexthokage used command ::claimvotes | Player rights = PLAYER	
[4/17/23 12:05PM] Nexthokage used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 12:05PM] Nexthokage used command ::rewards 1 all | Player rights = PLAYER	
[4/17/23 12:05PM] Nexthokage used command ::rewards 1 all | Player rights = PLAYER	
[4/17/23 12:06PM] Nexthokage used command ::rewards 1 all | Player rights = PLAYER	
[4/17/23 12:07PM] Nexthokage used command ::home | Player rights = PLAYER	
[4/17/23 12:07PM] Nexthokage used command ::tasks | Player rights = PLAYER	
[4/17/23 12:08PM] Nexthokage used command ::veigar | Player rights = PLAYER	
[4/17/23 12:08PM] Nexthokage used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 12:09PM] Nexthokage used command ::meruem | Player rights = PLAYER	
[4/17/23 12:11PM] Nexthokage used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:13PM] Nexthokage used command ::rewards 1 all | Player rights = PLAYER	
[4/17/23 12:13PM] Nexthokage used command ::golden | Player rights = PLAYER	
[4/17/23 12:15PM] Nexthokage used command ::voteboss | Player rights = PLAYER	
[4/17/23 12:17PM] Nexthokage used command ::veigar | Player rights = PLAYER	
[4/17/23 12:17PM] Nexthokage used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:18PM] Nexthokage used command ::meruem | Player rights = PLAYER	
[4/17/23 12:18PM] Nexthokage used command ::golden | Player rights = PLAYER	
[4/17/23 12:19PM] Nexthokage used command ::tasks | Player rights = PLAYER	
[4/17/23 12:19PM] Nexthokage used command ::vboss | Player rights = PLAYER	
[4/17/23 12:20PM] Nexthokage used command ::home | Player rights = PLAYER	
[4/17/23 12:26PM] Nexthokage used command ::upgrade | Player rights = PLAYER	
[4/17/23 12:32PM] Nexthokage used command ::rewards 1 all | Player rights = PLAYER	
[4/17/23 12:32PM] Nexthokage used command ::veigar | Player rights = PLAYER	
[4/17/23 12:32PM] Nexthokage used command ::meruem | Player rights = PLAYER	
[4/17/23 12:32PM] Nexthokage used command ::veiigar | Player rights = PLAYER	
[4/17/23 12:32PM] Nexthokage used command ::veigar | Player rights = PLAYER	
[4/17/23 12:33PM] Nexthokage used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:33PM] Nexthokage used command ::meruem | Player rights = PLAYER	
[4/17/23 12:34PM] Nexthokage used command ::stores | Player rights = PLAYER	
[4/17/23 12:34PM] Nexthokage used command ::home | Player rights = PLAYER	
[4/17/23 12:37PM] Nexthokage used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40PM] Nexthokage used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:47PM] Nexthokage used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:59PM] Nexthokage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:05PM] Nexthokage used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:05PM] Nexthokage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:12PM] Nexthokage used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:32PM] Nexthokage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Nexthokage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Nexthokage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:56PM] Nexthokage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:00PM] Nexthokage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:02PM] Nexthokage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:03PM] Nexthokage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:03PM] Nexthokage used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:03PM] Nexthokage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:32PM] Nexthokage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:33PM] Nexthokage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:33PM] Nexthokage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:33PM] Nexthokage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:35PM] Nexthokage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:49PM] Nexthokage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:58PM] Nexthokage used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:59PM] Nexthokage used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:04PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:07PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:12PM] Nexthokage used command ::ref fpk merk | Player rights = CLERIC_DONATOR	
[4/17/23 03:30PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 03:34PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 03:35PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
