[4/16/23 04:10PM] Spud used command ::ref | Player rights = PLAYER	
[4/16/23 04:10PM] Spud used command ::ref | Player rights = PLAYER	
[4/16/23 04:11PM] Spud used command ::ref | Player rights = PLAYER	
[4/16/23 04:13PM] Spud used command ::home | Player rights = PLAYER	
[4/16/23 04:14PM] Spud used command ::train | Player rights = PLAYER	
[4/16/23 04:20PM] Spud used command ::train | Player rights = PLAYER	
[4/16/23 04:23PM] Spud used command ::veigar | Player rights = PLAYER	
[4/16/23 04:24PM] Spud used command ::altar | Player rights = PLAYER	
[4/16/23 04:24PM] Spud used command ::train | Player rights = PLAYER	
[4/16/23 04:29PM] Spud used command ::vote | Player rights = PLAYER	
[4/16/23 04:30PM] Spud used command ::claimvote | Player rights = PLAYER	
[4/16/23 04:30PM] Spud used command ::coted | Player rights = PLAYER	
[4/16/23 04:30PM] Spud used command ::voted | Player rights = PLAYER	
[4/16/23 04:30PM] Spud used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 04:38PM] Spud used command ::discord | Player rights = PLAYER	
[4/16/23 04:42PM] Spud used command ::ref | Player rights = PLAYER	
[4/16/23 04:45PM] Spud used command ::elo | Player rights = PLAYER	
[4/16/23 04:53PM] Spud used command ::veigar | Player rights = PLAYER	
[4/16/23 04:54PM] Spud used command ::elo | Player rights = PLAYER	
[4/16/23 05:02PM] Spud used command ::voteboss | Player rights = PLAYER	
[4/16/23 05:04PM] Spud used command ::shops | Player rights = PLAYER	
[4/16/23 05:05PM] Spud used command ::home | Player rights = PLAYER	
[4/16/23 05:08PM] Spud used command ::ref | Player rights = PLAYER	
[4/16/23 05:10PM] Spud used command ::elo | Player rights = PLAYER	
[4/16/23 07:43PM] Spud used command ::elo | Player rights = PLAYER	
[4/16/23 07:45PM] Spud used command ::totem | Player rights = PLAYER	
[4/16/23 07:46PM] Spud used command ::elo | Player rights = PLAYER	
[4/16/23 07:53PM] Spud used command ::elo | Player rights = PLAYER	
[4/16/23 07:54PM] Spud used command ::veigar | Player rights = PLAYER	
[4/16/23 08:23PM] Spud used command ::veigar | Player rights = PLAYER	
[4/16/23 08:24PM] Spud used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:25PM] Spud used command ::golden11 | Player rights = PLAYER	
[4/16/23 08:25PM] Spud used command ::golden | Player rights = PLAYER	
[4/16/23 08:26PM] Spud used command ::home | Player rights = PLAYER	
[4/16/23 08:29PM] Spud used command ::dr | Player rights = PLAYER	
[4/16/23 08:31PM] Spud used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:31PM] Spud used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:32PM] Spud used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:33PM] Spud used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:33PM] Spud used command ::skill | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:33PM] Spud used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:02PM] Spud used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:50PM] Spud used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:56PM] Spud used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:59PM] Spud used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:06PM] Spud used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:07PM] Spud used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:08PM] Spud used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:09PM] Spud used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:11PM] Spud used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:11PM] Spud used command ::dr | Player rights = GRACEFUL_DONATOR	
