[4/16/23 01:26PM] Ppoopoo used command ::ref fpk merk | Player rights = PLAYER	
[4/16/23 01:29PM] Ppoopoo used command ::zones | Player rights = PLAYER	
[4/16/23 01:29PM] Ppoopoo used command ::zones | Player rights = PLAYER	
[4/16/23 01:29PM] Ppoopoo used command ::starter | Player rights = PLAYER	
[4/16/23 01:31PM] Ppoopoo used command ::pos | Player rights = PLAYER	
[4/16/23 01:35PM] Ppoopoo used command ::starter | Player rights = PLAYER	
[4/16/23 01:39PM] Ppoopoo used command ::bank | Player rights = PLAYER	
[4/16/23 01:39PM] Ppoopoo used command ::discord | Player rights = PLAYER	
[4/16/23 01:44PM] Ppoopoo used command ::starter | Player rights = PLAYER	
[4/16/23 01:48PM] Ppoopoo used command ::STARTER | Player rights = PLAYER	
[4/16/23 01:49PM] Ppoopoo used command ::bank | Player rights = PLAYER	
[4/16/23 01:49PM] Ppoopoo used command ::bank | Player rights = PLAYER	
[4/16/23 01:49PM] Ppoopoo used command ::bank | Player rights = PLAYER	
[4/16/23 01:50PM] Ppoopoo used command ::revenant | Player rights = PLAYER	
[4/16/23 01:51PM] Ppoopoo used command ::TELEPORTS | Player rights = PLAYER	
[4/19/23 11:42AM] Ppoopoo used command ::vboss | Player rights = PLAYER	
[4/19/23 11:43AM] Ppoopoo used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Ppoopoo used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Ppoopoo used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Ppoopoo used command ::golden | Player rights = PLAYER	
[4/19/23 11:47AM] Ppoopoo used command ::starter | Player rights = PLAYER	
[4/19/23 11:48AM] Ppoopoo used command ::golden | Player rights = PLAYER	
[4/19/23 11:49AM] Ppoopoo used command ::starter | Player rights = PLAYER	
[4/19/23 11:50AM] Ppoopoo used command ::ref wr3ckedyou | Player rights = PLAYER	
[4/19/23 12:07PM] Ppoopoo used command ::pos | Player rights = PLAYER	
[4/19/23 12:08PM] Ppoopoo used command ::pos | Player rights = PLAYER	
[4/19/23 12:08PM] Ppoopoo used command ::pos | Player rights = PLAYER	
[4/19/23 12:08PM] Ppoopoo used command ::home | Player rights = PLAYER	
