[4/22/23 12:53PM] Damakos used command ::reffer | Player rights = PLAYER	
[4/22/23 12:53PM] Damakos used command ::refer | Player rights = PLAYER	
[4/22/23 01:02PM] Damakos used command ::veigar | Player rights = PLAYER	
[4/22/23 01:05PM] Damakos used command ::train | Player rights = PLAYER	
[4/22/23 01:10PM] Damakos used command ::bank | Player rights = PLAYER	
[4/22/23 01:17PM] Damakos used command ::vote | Player rights = PLAYER	
[4/22/23 01:19PM] Damakos used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 01:33PM] Damakos used command ::veigar | Player rights = PLAYER	
[4/22/23 01:34PM] Damakos used command ::train | Player rights = PLAYER	
[4/22/23 02:32PM] Damakos used command ::veigar | Player rights = PLAYER	
[4/22/23 03:02PM] Damakos used command ::veigar | Player rights = PLAYER	
[4/23/23 06:04AM] Damakos used command ::veigar | Player rights = PLAYER	
[4/23/23 08:04AM] Damakos used command ::veigar | Player rights = PLAYER	
[4/23/23 08:07AM] Damakos used command ::voteboss | Player rights = PLAYER	
[4/23/23 08:34AM] Damakos used command ::veigar | Player rights = PLAYER	
[4/23/23 10:37AM] Damakos used command ::vote | Player rights = PLAYER	
[4/23/23 10:38AM] Damakos used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 11:25AM] Damakos used command ::veigar | Player rights = PLAYER	
[4/23/23 12:04PM] Damakos used command ::voteboss | Player rights = PLAYER	
[4/24/23 03:31AM] Damakos used command ::veigar | Player rights = PLAYER	
[4/24/23 03:31AM] Damakos used command ::vote | Player rights = PLAYER	
[4/24/23 03:33AM] Damakos used command ::reward 1 all | Player rights = PLAYER	
[4/24/23 04:31AM] Damakos used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:32AM] Damakos used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:34AM] Damakos used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:36AM] Damakos used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 05:01AM] Damakos used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 05:04AM] Damakos used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:45PM] Damakos used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:47PM] Damakos used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:48PM] Damakos used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:51PM] Damakos used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:54PM] Damakos used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:56PM] Damakos used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:01PM] Damakos used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 11:47AM] Damakos used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/25/23 11:50AM] Damakos used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
