[4/20/23 11:03PM] Pro Jad used command ::shops | Player rights = PLAYER	
[4/20/23 11:03PM] Pro Jad used command ::veigar | Player rights = PLAYER	
[4/20/23 11:33PM] Pro Jad used command ::veigar | Player rights = PLAYER	
[4/21/23 12:32AM] Pro Jad used command ::veigar | Player rights = PLAYER	
[4/21/23 12:43AM] Pro Jad used command ::voteboss | Player rights = PLAYER	
[4/21/23 01:03AM] Pro Jad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:29AM] Pro Jad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:31AM] Pro Jad used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Pro Jad used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Pro Jad used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Pro Jad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33AM] Pro Jad used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34AM] Pro Jad used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35AM] Pro Jad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:37AM] Pro Jad used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:39AM] Pro Jad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:40AM] Pro Jad used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:43AM] Pro Jad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Pro Jad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:11PM] Pro Jad used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34AM] Pro Jad used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 10:36AM] Pro Jad used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 10:37AM] Pro Jad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:38AM] Pro Jad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 10:39AM] Pro Jad used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:02AM] Pro Jad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:05AM] Pro Jad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:43AM] Pro Jad used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 10:45AM] Pro Jad used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/23/23 10:46AM] Pro Jad used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 10:53AM] Pro Jad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:54AM] Pro Jad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:19AM] Pro Jad used command ::ref walkchaos | Player rights = CLERIC_DONATOR	
[4/23/23 11:45AM] Pro Jad used command ::voteboss | Player rights = CLERIC_DONATOR	
