[4/17/23 04:57PM] Nadez used command ::home | Player rights = PLAYER	
[4/17/23 04:57PM] Nadez used command ::bank | Player rights = PLAYER	
[4/17/23 04:58PM] Nadez used command ::donate | Player rights = PLAYER	
[4/17/23 04:59PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:02PM] Nadez used command ::yell hello | Player rights = PLAYER	
[4/17/23 05:02PM] Nadez used command ::veiger | Player rights = PLAYER	
[4/17/23 05:02PM] Nadez used command ::veiger | Player rights = PLAYER	
[4/17/23 05:02PM] Nadez used command ::veigar | Player rights = PLAYER	
[4/17/23 05:03PM] Nadez used command ::donate | Player rights = PLAYER	
[4/17/23 05:04PM] Nadez used command ::stats | Player rights = PLAYER	
[4/17/23 05:04PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:07PM] Nadez used command ::claim | Player rights = PLAYER	
[4/17/23 05:08PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:09PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:11PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:15PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:19PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:32PM] Nadez used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:32PM] Nadez used command ::veigar | Player rights = PLAYER	
[4/17/23 05:33PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:34PM] Nadez used command ::claim | Player rights = PLAYER	
[4/17/23 05:34PM] Nadez used command ::donate | Player rights = PLAYER	
[4/17/23 05:39PM] Nadez used command ::vote | Player rights = PLAYER	
[4/17/23 05:40PM] Nadez used command ::claimvote | Player rights = PLAYER	
[4/17/23 05:41PM] Nadez used command ::voted | Player rights = PLAYER	
[4/17/23 05:41PM] Nadez used command ::vlaimvote | Player rights = PLAYER	
[4/17/23 05:41PM] Nadez used command ::vote | Player rights = PLAYER	
[4/17/23 05:41PM] Nadez used command ::reward1 | Player rights = PLAYER	
[4/17/23 05:42PM] Nadez used command ::vote | Player rights = PLAYER	
[4/17/23 05:42PM] Nadez used command ::reard1 | Player rights = PLAYER	
[4/17/23 05:42PM] Nadez used command ::reward1 | Player rights = PLAYER	
[4/17/23 05:42PM] Nadez used command ::reward 1 | Player rights = PLAYER	
[4/17/23 05:43PM] Nadez used command ::bank | Player rights = PLAYER	
[4/17/23 05:44PM] Nadez used command ::bank | Player rights = PLAYER	
[4/17/23 05:44PM] Nadez used command ::starter | Player rights = PLAYER	
[4/17/23 05:47PM] Nadez used command ::commands | Player rights = PLAYER	
[4/17/23 05:47PM] Nadez used command ::commands | Player rights = PLAYER	
[4/17/23 05:48PM] Nadez used command ::itemstats | Player rights = PLAYER	
[4/17/23 05:48PM] Nadez used command ::itemstats | Player rights = PLAYER	
[4/17/23 05:48PM] Nadez used command ::itemstats | Player rights = PLAYER	
[4/17/23 05:57PM] Nadez used command ::itemstats | Player rights = PLAYER	
[4/17/23 05:58PM] Nadez used command ::itemstats | Player rights = PLAYER	
[4/17/23 05:59PM] Nadez used command ::stats | Player rights = PLAYER	
[4/17/23 05:59PM] Nadez used command ::itemstats | Player rights = PLAYER	
[4/17/23 05:59PM] Nadez used command ::itemstat | Player rights = PLAYER	
[4/17/23 05:59PM] Nadez used command ::commands | Player rights = PLAYER	
[4/17/23 06:00PM] Nadez used command ::itemstats | Player rights = PLAYER	
[4/17/23 06:00PM] Nadez used command ::whatdrops | Player rights = PLAYER	
[4/17/23 06:02PM] Nadez used command ::veigar | Player rights = PLAYER	
[4/17/23 06:08PM] Nadez used command ::donate | Player rights = PLAYER	
[4/17/23 06:13PM] Nadez used command ::perks | Player rights = PLAYER	
[4/17/23 06:18PM] Nadez used command ::bank | Player rights = PLAYER	
[4/17/23 06:33PM] Nadez used command ::veigar | Player rights = PLAYER	
[4/17/23 06:54PM] Nadez used command ::home | Player rights = PLAYER	
[4/17/23 07:01PM] Nadez used command ::veigar | Player rights = PLAYER	
[4/17/23 07:15PM] Nadez used command ::claim | Player rights = PLAYER	
[4/17/23 07:18PM] Nadez used command ::zones | Player rights = PLAYER	
[4/17/23 07:18PM] Nadez used command ::zones | Player rights = PLAYER	
[4/17/23 07:21PM] Nadez used command ::home | Player rights = PLAYER	
[4/17/23 07:23PM] Nadez used command ::donate | Player rights = PLAYER	
[4/17/23 07:23PM] Nadez used command ::commands | Player rights = PLAYER	
[4/17/23 07:24PM] Nadez used command ::rewards | Player rights = PLAYER	
[4/17/23 07:24PM] Nadez used command ::rewards 1 | Player rights = PLAYER	
[4/17/23 07:26PM] Nadez used command ::claim | Player rights = PLAYER	
[4/17/23 07:26PM] Nadez used command ::claim | Player rights = PLAYER	
[4/17/23 07:27PM] Nadez used command ::donated | Player rights = PLAYER	
[4/17/23 07:27PM] Nadez used command ::claim | Player rights = PLAYER	
[4/17/23 07:27PM] Nadez used command ::claim | Player rights = PLAYER	
[4/17/23 07:27PM] Nadez used command ::claim | Player rights = PLAYER	
[4/17/23 07:30PM] Nadez used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 07:30PM] Nadez used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 07:30PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:34PM] Nadez used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:34PM] Nadez used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 07:35PM] Nadez used command ::b | Player rights = CLERIC_DONATOR	
[4/17/23 07:35PM] Nadez used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 07:35PM] Nadez used command ::emerald | Player rights = CLERIC_DONATOR	
[4/17/23 07:36PM] Nadez used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 07:37PM] Nadez used command ::donated | Player rights = CLERIC_DONATOR	
[4/17/23 07:37PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 07:37PM] Nadez used command ::cleric | Player rights = CLERIC_DONATOR	
[4/17/23 07:43PM] Nadez used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 07:49PM] Nadez used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 08:14PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Nadez used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Nadez used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:17PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:18PM] Nadez used command ::rewards 1 | Player rights = CLERIC_DONATOR	
