[4/22/23 04:04PM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/22/23 04:06PM] Pvmvet used command ::shops | Player rights = PLAYER	
[4/22/23 04:14PM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/22/23 04:14PM] Pvmvet used command ::pos | Player rights = PLAYER	
[4/22/23 04:37PM] Pvmvet used command ::voteboss | Player rights = PLAYER	
[4/22/23 04:38PM] Pvmvet used command ::home | Player rights = PLAYER	
[4/22/23 04:39PM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/22/23 05:16PM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/22/23 05:35PM] Pvmvet used command ::golden | Player rights = PLAYER	
[4/22/23 05:35PM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 08:22AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 09:26AM] Pvmvet used command ::vboss | Player rights = PLAYER	
[4/23/23 09:26AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 09:37AM] Pvmvet used command ::meruem | Player rights = PLAYER	
[4/23/23 09:38AM] Pvmvet used command ::meruem | Player rights = PLAYER	
[4/23/23 09:38AM] Pvmvet used command ::golden | Player rights = PLAYER	
[4/23/23 09:38AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 09:39AM] Pvmvet used command ::vboss | Player rights = PLAYER	
[4/23/23 09:39AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 09:42AM] Pvmvet used command ::vboss | Player rights = PLAYER	
[4/23/23 09:43AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 09:44AM] Pvmvet used command ::vboss | Player rights = PLAYER	
[4/23/23 09:44AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 09:56AM] Pvmvet used command ::::afk | Player rights = PLAYER	
[4/23/23 09:56AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 10:37AM] Pvmvet used command ::home | Player rights = PLAYER	
[4/23/23 10:39AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 10:53AM] Pvmvet used command ::vboss | Player rights = PLAYER	
[4/23/23 10:53AM] Pvmvet used command ::afk | Player rights = PLAYER	
[4/23/23 11:17AM] Pvmvet used command ::afk | Player rights = PLAYER	
