[4/17/23 10:54AM] Divine used command ::home | Player rights = PLAYER	
[4/17/23 10:56AM] Divine used command ::ref | Player rights = PLAYER	
[4/17/23 11:00AM] Divine used command ::refferal | Player rights = PLAYER	
[4/17/23 11:00AM] Divine used command ::referral | Player rights = PLAYER	
[4/17/23 11:02AM] Divine used command ::veigar | Player rights = PLAYER	
[4/17/23 11:03AM] Divine used command ::muruem | Player rights = PLAYER	
[4/17/23 11:03AM] Divine used command ::muruem | Player rights = PLAYER	
[4/17/23 11:03AM] Divine used command ::mureum | Player rights = PLAYER	
[4/17/23 11:03AM] Divine used command ::meruem | Player rights = PLAYER	
[4/17/23 11:04AM] Divine used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:05AM] Divine used command ::golden | Player rights = PLAYER	
[4/17/23 11:07AM] Divine used command ::progression | Player rights = PLAYER	
[4/17/23 11:07AM] Divine used command ::progression | Player rights = PLAYER	
[4/17/23 11:08AM] Divine used command ::meruem | Player rights = PLAYER	
[4/17/23 11:12AM] Divine used command ::vote | Player rights = PLAYER	
[4/17/23 11:15AM] Divine used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 11:17AM] Divine used command ::progression | Player rights = PLAYER	
[4/17/23 11:28AM] Divine used command ::veigar | Player rights = PLAYER	
[4/17/23 11:31AM] Divine used command ::progress | Player rights = PLAYER	
[4/17/23 11:31AM] Divine used command ::train | Player rights = PLAYER	
[4/17/23 11:32AM] Divine used command ::veigar | Player rights = PLAYER	
[4/17/23 11:33AM] Divine used command ::ninetail | Player rights = PLAYER	
[4/17/23 11:33AM] Divine used command ::ninetail | Player rights = PLAYER	
[4/17/23 11:33AM] Divine used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:35AM] Divine used command ::train | Player rights = PLAYER	
[4/17/23 11:38AM] Divine used command ::referral | Player rights = PLAYER	
[4/17/23 11:49AM] Divine used command ::zones | Player rights = PLAYER	
[4/17/23 11:49AM] Divine used command ::train | Player rights = PLAYER	
[4/17/23 11:52AM] Divine used command ::meruem | Player rights = PLAYER	
[4/17/23 11:54AM] Divine used command ::golden | Player rights = PLAYER	
[4/17/23 11:54AM] Divine used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] Divine used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] Divine used command ::task | Player rights = PLAYER	
[4/17/23 11:56AM] Divine used command ::voteboss | Player rights = PLAYER	
[4/17/23 11:58AM] Divine used command ::tasks | Player rights = PLAYER	
[4/17/23 12:02PM] Divine used command ::veigar | Player rights = PLAYER	
[4/17/23 12:08PM] Divine used command ::veigar | Player rights = PLAYER	
[4/17/23 12:09PM] Divine used command ::mereum | Player rights = PLAYER	
[4/17/23 12:09PM] Divine used command ::meruem | Player rights = PLAYER	
[4/17/23 12:11PM] Divine used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:11PM] Divine used command ::bank | Player rights = PLAYER	
[4/17/23 12:12PM] Divine used command ::golden | Player rights = PLAYER	
[4/17/23 12:13PM] Divine used command ::golden | Player rights = PLAYER	
[4/17/23 12:14PM] Divine used command ::golden | Player rights = PLAYER	
[4/17/23 12:15PM] Divine used command ::voteboss | Player rights = PLAYER	
[4/17/23 12:17PM] Divine used command ::veigar | Player rights = PLAYER	
[4/17/23 12:17PM] Divine used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:18PM] Divine used command ::meruem | Player rights = PLAYER	
[4/17/23 12:18PM] Divine used command ::golden | Player rights = PLAYER	
[4/17/23 12:19PM] Divine used command ::vboss | Player rights = PLAYER	
[4/17/23 12:22PM] Divine used command ::upgrade | Player rights = PLAYER	
[4/17/23 12:32PM] Divine used command ::veigar | Player rights = PLAYER	
[4/17/23 12:33PM] Divine used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:33PM] Divine used command ::meruem | Player rights = PLAYER	
[4/17/23 12:39PM] Divine used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Divine used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:47PM] Divine used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:59PM] Divine used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 12:59PM] Divine used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:59PM] Divine used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 01:01PM] Divine used command ::buff | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Divine used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Divine used command ::perk | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Divine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:15PM] Divine used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:23PM] Divine used command ::voted | Player rights = CLERIC_DONATOR	
[4/17/23 01:23PM] Divine used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:24PM] Divine used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 01:30PM] Divine used command ::pers | Player rights = CLERIC_DONATOR	
[4/17/23 01:30PM] Divine used command ::master | Player rights = CLERIC_DONATOR	
[4/17/23 01:30PM] Divine used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Divine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Divine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Divine used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:08AM] Divine used command ::daily | Player rights = CLERIC_DONATOR	
[4/18/23 08:10AM] Divine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:17AM] Divine used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 08:21AM] Divine used command ::reward 1 all | Player rights = CLERIC_DONATOR	
