[4/23/23 03:30AM] Madcrow used command ::ref nobble | Player rights = PLAYER	
[4/23/23 03:31AM] Madcrow used command :::veigar | Player rights = PLAYER	
[4/23/23 03:31AM] Madcrow used command ::veigar | Player rights = PLAYER	
[4/23/23 03:31AM] Madcrow used command ::veigar | Player rights = PLAYER	
[4/23/23 03:31AM] Madcrow used command ::veigar | Player rights = PLAYER	
[4/23/23 03:32AM] Madcrow used command ::golden | Player rights = PLAYER	
[4/23/23 03:32AM] Madcrow used command ::golden | Player rights = PLAYER	
[4/23/23 03:34AM] Madcrow used command ::train | Player rights = PLAYER	
[4/23/23 03:40AM] Madcrow used command ::voteboss | Player rights = PLAYER	
[4/23/23 03:44AM] Madcrow used command ::train | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:47AM] Madcrow used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:47AM] Madcrow used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:50AM] Madcrow used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:05AM] Madcrow used command ::ref | Player rights = GRACEFUL_DONATOR	
