[4/15/23 04:07PM] Afk used command ::afk | Player rights = PLAYER	
[4/15/23 04:07PM] Afk used command ::shops | Player rights = PLAYER	
[4/15/23 04:08PM] Afk used command ::afk | Player rights = PLAYER	
[4/16/23 12:37AM] Afk used command ::afk | Player rights = PLAYER	
[4/17/23 12:11AM] Afk used command ::afkzone | Player rights = PLAYER	
[4/17/23 12:11AM] Afk used command ::afk | Player rights = PLAYER	
[4/17/23 09:32PM] Afk used command ::afk | Player rights = PLAYER	
[4/18/23 12:51AM] Afk used command ::afk | Player rights = PLAYER	
[4/18/23 08:09PM] Afk used command ::afk | Player rights = PLAYER	
[4/18/23 10:23PM] Afk used command ::afk | Player rights = PLAYER	
[4/18/23 10:43PM] Afk used command ::afk | Player rights = PLAYER	
[4/19/23 10:15PM] Afk used command ::afk | Player rights = PLAYER	
[4/20/23 01:21PM] Afk used command ::afk | Player rights = PLAYER	
