[4/15/23 08:27AM] Sklz used command ::train | Player rights = PLAYER	
[4/15/23 08:30AM] Sklz used command ::train | Player rights = PLAYER	
[4/15/23 08:31AM] Sklz used command ::home | Player rights = PLAYER	
[4/15/23 08:31AM] Sklz used command ::train | Player rights = PLAYER	
[4/15/23 08:37AM] Sklz used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 08:38AM] Sklz used command ::home | Player rights = PLAYER	
[4/15/23 08:40AM] Sklz used command ::train | Player rights = PLAYER	
[4/15/23 08:59AM] Sklz used command ::veigar | Player rights = PLAYER	
[4/15/23 09:11AM] Sklz used command ::home | Player rights = PLAYER	
[4/15/23 09:13AM] Sklz used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:16AM] Sklz used command ::vote | Player rights = PLAYER	
[4/15/23 09:19AM] Sklz used command ::reward 1 | Player rights = PLAYER	
[4/15/23 09:21AM] Sklz used command ::store | Player rights = PLAYER	
[4/15/23 09:29AM] Sklz used command ::veigar | Player rights = PLAYER	
[4/15/23 09:52AM] Sklz used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:53AM] Sklz used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:53AM] Sklz used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:53AM] Sklz used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:18PM] Sklz used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:21PM] Sklz used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:21PM] Sklz used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:23PM] Sklz used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32PM] Sklz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32PM] Sklz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Sklz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Sklz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Sklz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:36PM] Sklz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:38PM] Sklz used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:42PM] Sklz used command ::home | Player rights = GRACEFUL_DONATOR	
