[4/19/23 01:59PM] Swavvy used command ::ref | Player rights = PLAYER	
[4/19/23 01:59PM] Swavvy used command ::ref | Player rights = PLAYER	
[4/19/23 02:13PM] Swavvy used command ::train | Player rights = PLAYER	
[4/19/23 02:13PM] Swavvy used command ::veigar | Player rights = PLAYER	
[4/19/23 02:15PM] Swavvy used command ::train | Player rights = PLAYER	
[4/19/23 02:17PM] Swavvy used command ::vote | Player rights = PLAYER	
[4/19/23 02:18PM] Swavvy used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:18PM] Swavvy used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 02:43PM] Swavvy used command ::veigar | Player rights = PLAYER	
[4/19/23 03:13PM] Swavvy used command ::veigar | Player rights = PLAYER	
[4/19/23 03:15PM] Swavvy used command ::ninetails | Player rights = PLAYER	
[4/19/23 03:16PM] Swavvy used command ::meruem | Player rights = PLAYER	
[4/19/23 03:17PM] Swavvy used command ::golden | Player rights = PLAYER	
