[4/19/23 04:14PM] Slussy used command ::ref walkchaos | Player rights = PLAYER	
[4/19/23 04:15PM] Slussy used command ::togglelevelup | Player rights = PLAYER	
[4/19/23 04:20PM] Slussy used command ::train | Player rights = PLAYER	
[4/19/23 04:21PM] Slussy used command ::bank | Player rights = PLAYER	
[4/19/23 04:23PM] Slussy used command ::home | Player rights = PLAYER	
[4/19/23 04:24PM] Slussy used command ::bank | Player rights = PLAYER	
[4/19/23 04:30PM] Slussy used command ::home | Player rights = PLAYER	
[4/19/23 04:45PM] Slussy used command ::voteboss | Player rights = PLAYER	
[4/19/23 04:48PM] Slussy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:49PM] Slussy used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:49PM] Slussy used command ::pop | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:16PM] Slussy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:17PM] Slussy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:26PM] Slussy used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:26PM] Slussy used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:37PM] Slussy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:43PM] Slussy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:45PM] Slussy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:54PM] Slussy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:54PM] Slussy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:54PM] Slussy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:54PM] Slussy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:54PM] Slussy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:54PM] Slussy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:54PM] Slussy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:57PM] Slussy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:13PM] Slussy used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:13PM] Slussy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:15PM] Slussy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Slussy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Slussy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:19PM] Slussy used command ::togglecollectors | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:19PM] Slussy used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:42PM] Slussy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:44PM] Slussy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:06PM] Slussy used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:37PM] Slussy used command ::players | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:01PM] Slussy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:01PM] Slussy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:04PM] Slussy used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:07PM] Slussy used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:14PM] Slussy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:14PM] Slussy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:15PM] Slussy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:15PM] Slussy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:33PM] Slussy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:34PM] Slussy used command ::ninteails | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:34PM] Slussy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:35PM] Slussy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:02PM] Slussy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:17PM] Slussy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:33PM] Slussy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:33PM] Slussy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34PM] Slussy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34PM] Slussy used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:41PM] Slussy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:50PM] Slussy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:51PM] Slussy used command ::home | Player rights = GRACEFUL_DONATOR	
