[4/20/23 10:17PM] Gor3whor3 used command ::goblins | Player rights = PLAYER	
[4/20/23 11:03PM] Gor3whor3 used command ::veigar | Player rights = PLAYER	
[4/20/23 11:04PM] Gor3whor3 used command ::veigar | Player rights = PLAYER	
[4/20/23 11:05PM] Gor3whor3 used command ::reward 1 | Player rights = PLAYER	
[4/20/23 11:05PM] Gor3whor3 used command ::vote | Player rights = PLAYER	
[4/20/23 11:09PM] Gor3whor3 used command ::reward 1 | Player rights = PLAYER	
[4/20/23 11:09PM] Gor3whor3 used command ::claimvote | Player rights = PLAYER	
[4/20/23 11:32PM] Gor3whor3 used command ::veigar | Player rights = PLAYER	
[4/20/23 11:34PM] Gor3whor3 used command ::reward 1 | Player rights = PLAYER	
[4/20/23 11:34PM] Gor3whor3 used command ::reward 1 | Player rights = PLAYER	
[4/21/23 12:02AM] Gor3whor3 used command ::veigar | Player rights = PLAYER	
[4/21/23 12:43AM] Gor3whor3 used command ::voteboss | Player rights = PLAYER	
[4/21/23 01:18AM] Gor3whor3 used command ::ref fpk merk | Player rights = PLAYER	
[4/21/23 01:18AM] Gor3whor3 used command ::ref | Player rights = PLAYER	
[4/21/23 01:33AM] Gor3whor3 used command ::ninetails | Player rights = PLAYER	
[4/21/23 01:35AM] Gor3whor3 used command ::vigar | Player rights = PLAYER	
[4/21/23 01:35AM] Gor3whor3 used command ::veigar | Player rights = PLAYER	
[4/21/23 01:36AM] Gor3whor3 used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:26AM] Gor3whor3 used command ::voteboss | Player rights = PLAYER	
[4/21/23 02:29AM] Gor3whor3 used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:32AM] Gor3whor3 used command ::veigar | Player rights = PLAYER	
[4/21/23 02:35AM] Gor3whor3 used command ::meruem | Player rights = PLAYER	
[4/21/23 02:35AM] Gor3whor3 used command ::golden | Player rights = PLAYER	
[4/21/23 02:36AM] Gor3whor3 used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:37AM] Gor3whor3 used command ::meruem | Player rights = PLAYER	
[4/21/23 02:39AM] Gor3whor3 used command ::golden | Player rights = PLAYER	
[4/21/23 02:41AM] Gor3whor3 used command ::meruem | Player rights = PLAYER	
[4/21/23 03:03AM] Gor3whor3 used command ::veigar | Player rights = PLAYER	
[4/21/23 03:50AM] Gor3whor3 used command ::ref | Player rights = PLAYER	
[4/21/23 04:33AM] Gor3whor3 used command ::veigar | Player rights = PLAYER	
[4/21/23 04:36AM] Gor3whor3 used command ::ninetails | Player rights = PLAYER	
[4/21/23 04:38AM] Gor3whor3 used command ::meruem | Player rights = PLAYER	
[4/21/23 05:03AM] Gor3whor3 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:32AM] Gor3whor3 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34AM] Gor3whor3 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:35AM] Gor3whor3 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:30AM] Gor3whor3 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:33AM] Gor3whor3 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:34AM] Gor3whor3 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:35AM] Gor3whor3 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:37AM] Gor3whor3 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:29AM] Gor3whor3 used command ::claimreward 3 | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:30AM] Gor3whor3 used command ::claimreward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:30AM] Gor3whor3 used command ::claimvote | Player rights = GRACEFUL_DONATOR	
