[4/16/23 12:11PM] Tammu used command ::ref | Player rights = PLAYER	
[4/16/23 12:11PM] Tammu used command ::totem | Player rights = PLAYER	
[4/16/23 12:11PM] Tammu used command ::train | Player rights = PLAYER	
[4/16/23 12:13PM] Tammu used command ::ref | Player rights = PLAYER	
[4/16/23 12:14PM] Tammu used command ::train | Player rights = PLAYER	
[4/16/23 12:15PM] Tammu used command ::train | Player rights = PLAYER	
[4/16/23 12:15PM] Tammu used command ::train | Player rights = PLAYER	
[4/16/23 12:16PM] Tammu used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 12:17PM] Tammu used command ::train | Player rights = PLAYER	
[4/16/23 12:20PM] Tammu used command ::train | Player rights = PLAYER	
[4/16/23 12:21PM] Tammu used command ::train | Player rights = PLAYER	
[4/16/23 12:21PM] Tammu used command ::upgrade | Player rights = PLAYER	
[4/16/23 12:23PM] Tammu used command ::veigar | Player rights = PLAYER	
[4/16/23 12:24PM] Tammu used command ::ninetails | Player rights = PLAYER	
[4/16/23 12:24PM] Tammu used command ::veigar | Player rights = PLAYER	
[4/16/23 12:25PM] Tammu used command ::voteboss | Player rights = PLAYER	
[4/16/23 12:25PM] Tammu used command ::train | Player rights = PLAYER	
[4/16/23 12:26PM] Tammu used command ::upgrades | Player rights = PLAYER	
[4/16/23 12:26PM] Tammu used command ::upgrade | Player rights = PLAYER	
[4/16/23 12:28PM] Tammu used command ::train | Player rights = PLAYER	
