[4/18/23 05:21PM] Dwerd used command ::train | Player rights = PLAYER	
[4/18/23 05:31PM] Dwerd used command ::voteboss | Player rights = PLAYER	
[4/18/23 05:41PM] Dwerd used command ::veigar | Player rights = PLAYER	
[4/18/23 05:43PM] Dwerd used command ::ninetails | Player rights = PLAYER	
[4/19/23 03:14PM] Dwerd used command ::veigar | Player rights = PLAYER	
[4/19/23 03:43PM] Dwerd used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:46PM] Dwerd used command ::totum | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:46PM] Dwerd used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:13PM] Dwerd used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:14PM] Dwerd used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:43PM] Dwerd used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:44PM] Dwerd used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:46PM] Dwerd used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:46PM] Dwerd used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:04PM] Dwerd used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Dwerd used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Dwerd used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:19PM] Dwerd used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:51PM] Dwerd used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:14PM] Dwerd used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:15PM] Dwerd used command ::reward all 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:32PM] Dwerd used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:33PM] Dwerd used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:34PM] Dwerd used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:03PM] Dwerd used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:05PM] Dwerd used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:32PM] Dwerd used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:33PM] Dwerd used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:34PM] Dwerd used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:53PM] Dwerd used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:02PM] Dwerd used command ::veigar | Player rights = GRACEFUL_DONATOR	
