[4/16/23 05:51PM] Winter used command ::bank | Player rights = PLAYER	
[4/16/23 05:53PM] Winter used command ::train | Player rights = PLAYER	
[4/16/23 05:53PM] Winter used command ::veigar | Player rights = PLAYER	
[4/16/23 05:54PM] Winter used command ::train | Player rights = PLAYER	
[4/16/23 05:55PM] Winter used command ::orc | Player rights = PLAYER	
[4/16/23 05:57PM] Winter used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 06:00PM] Winter used command ::commands | Player rights = PLAYER	
[4/16/23 06:04PM] Winter used command ::train | Player rights = PLAYER	
[4/16/23 06:09PM] Winter used command ::train | Player rights = PLAYER	
[4/16/23 06:13PM] Winter used command ::deals | Player rights = PLAYER	
[4/16/23 06:24PM] Winter used command ::veigar | Player rights = PLAYER	
[4/16/23 06:25PM] Winter used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:41PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 06:47PM] Winter used command ::home::whatdrops Progressive Box [T1] | Player rights = PLAYER	
[4/16/23 06:54PM] Winter used command ::veigar' | Player rights = PLAYER	
[4/16/23 06:54PM] Winter used command ::veigar | Player rights = PLAYER	
[4/16/23 06:54PM] Winter used command ::bank | Player rights = PLAYER	
[4/16/23 06:54PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 06:55PM] Winter used command ::Veigar | Player rights = PLAYER	
[4/16/23 06:56PM] Winter used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:56PM] Winter used command ::meruem | Player rights = PLAYER	
[4/16/23 07:04PM] Winter used command ::pos | Player rights = PLAYER	
[4/16/23 07:11PM] Winter used command ::pos | Player rights = PLAYER	
[4/16/23 07:12PM] Winter used command ::dropon | Player rights = PLAYER	
[4/16/23 07:23PM] Winter used command ::veigar | Player rights = PLAYER	
[4/16/23 07:23PM] Winter used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:24PM] Winter used command ::merue | Player rights = PLAYER	
[4/16/23 07:24PM] Winter used command ::meruem | Player rights = PLAYER	
[4/16/23 07:24PM] Winter used command ::veigar | Player rights = PLAYER	
