[4/19/23 03:25PM] Afkhero used command ::home | Player rights = PLAYER	
[4/19/23 03:25PM] Afkhero used command ::Afk | Player rights = PLAYER	
[4/20/23 02:58PM] Afkhero used command ::Afk | Player rights = PLAYER	
[4/20/23 03:06PM] Afkhero used command ::AFK | Player rights = PLAYER	
[4/21/23 03:09AM] Afkhero used command ::Afk | Player rights = PLAYER	
[4/21/23 01:13PM] Afkhero used command ::voteboss | Player rights = PLAYER	
[4/21/23 02:14PM] Afkhero used command ::afk | Player rights = PLAYER	
[4/23/23 08:00AM] Afkhero used command ::AFK | Player rights = PLAYER	
[4/23/23 08:43AM] Afkhero used command ::AFK | Player rights = PLAYER	
[4/23/23 11:05AM] Afkhero used command ::afk | Player rights = PLAYER	
[4/23/23 01:26PM] Afkhero used command ::AFK | Player rights = PLAYER	
[4/23/23 05:48PM] Afkhero used command ::Afk | Player rights = PLAYER	
[4/23/23 06:37PM] Afkhero used command ::home | Player rights = PLAYER	
[4/23/23 06:37PM] Afkhero used command ::AFK | Player rights = PLAYER	
[4/24/23 01:22PM] Afkhero used command ::home | Player rights = PLAYER	
[4/24/23 01:23PM] Afkhero used command ::Afk | Player rights = PLAYER	
[4/24/23 05:31PM] Afkhero used command ::Afk | Player rights = PLAYER	
[4/24/23 05:35PM] Afkhero used command ::home | Player rights = PLAYER	
[4/24/23 05:56PM] Afkhero used command ::AFK | Player rights = PLAYER	
[4/24/23 07:13PM] Afkhero used command ::home | Player rights = PLAYER	
[4/24/23 07:17PM] Afkhero used command ::Afk | Player rights = PLAYER	
[4/25/23 03:03AM] Afkhero used command ::AFK | Player rights = PLAYER	
[4/25/23 03:03AM] Afkhero used command ::collection | Player rights = PLAYER	
[4/25/23 03:33PM] Afkhero used command ::AFK | Player rights = PLAYER	
[4/25/23 07:34PM] Afkhero used command ::pos | Player rights = PLAYER	
