[4/16/23 10:23AM] Bryce used command ::veigar | Player rights = PLAYER	
[4/16/23 10:26AM] Bryce used command ::ninetails | Player rights = PLAYER	
[4/16/23 10:28AM] Bryce used command ::ref | Player rights = PLAYER	
[4/16/23 10:29AM] Bryce used command ::ref | Player rights = PLAYER	
[4/16/23 10:29AM] Bryce used command ::train | Player rights = PLAYER	
[4/16/23 10:53AM] Bryce used command ::veigar | Player rights = PLAYER	
[4/16/23 10:54AM] Bryce used command ::train | Player rights = PLAYER	
[4/16/23 10:59AM] Bryce used command ::totem | Player rights = PLAYER	
[4/16/23 10:59AM] Bryce used command ::train | Player rights = PLAYER	
[4/16/23 11:05AM] Bryce used command ::ref | Player rights = PLAYER	
[4/16/23 11:05AM] Bryce used command ::ref | Player rights = PLAYER	
[4/16/23 11:08AM] Bryce used command ::train | Player rights = PLAYER	
[4/16/23 11:21AM] Bryce used command ::raids | Player rights = PLAYER	
[4/16/23 11:23AM] Bryce used command ::veigar | Player rights = PLAYER	
[4/16/23 11:24AM] Bryce used command ::ninetails | Player rights = PLAYER	
[4/16/23 11:25AM] Bryce used command ::train | Player rights = PLAYER	
[4/16/23 11:30AM] Bryce used command ::voteboss | Player rights = PLAYER	
[4/16/23 11:32AM] Bryce used command ::bank | Player rights = PLAYER	
[4/16/23 11:52AM] Bryce used command ::bank | Player rights = PLAYER	
[4/16/23 11:53AM] Bryce used command ::veigar | Player rights = PLAYER	
[4/16/23 12:23PM] Bryce used command ::veigar | Player rights = PLAYER	
[4/16/23 12:53PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:06PM] Bryce used command ::train | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:24PM] Bryce used command ::meuem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:24PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:28PM] Bryce used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:29PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:53PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:54PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:23PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:24PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:46PM] Bryce used command ::dono | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:53PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:02PM] Bryce used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:06PM] Bryce used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25PM] Bryce used command ::gold | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25PM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:54PM] Bryce used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24PM] Bryce used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:25PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45PM] Bryce used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:09AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:10AM] Bryce used command ::ninetais | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:39AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:41AM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
