[4/19/23 11:55AM] No used command ::orc | Player rights = PLAYER	
[4/19/23 12:02PM] No used command ::train | Player rights = PLAYER	
[4/19/23 12:43PM] No used command ::veigar | Player rights = PLAYER	
[4/19/23 01:19PM] No used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:23PM] No used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:45PM] No used command ::worldevent | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:45PM] No used command ::boss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:45PM] No used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:14PM] No used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] No used command ::nine | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] No used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:24PM] No used command ::dz | Player rights = CLERIC_DONATOR	
[4/19/23 02:24PM] No used command ::d\ | Player rights = CLERIC_DONATOR	
[4/19/23 02:24PM] No used command ::d | Player rights = CLERIC_DONATOR	
[4/19/23 02:26PM] No used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 02:26PM] No used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 02:28PM] No used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:52PM] No used command ::die | Player rights = CLERIC_DONATOR	
[4/19/23 02:58PM] No used command ::heal | Player rights = CLERIC_DONATOR	
[4/19/23 02:58PM] No used command ::commands | Player rights = CLERIC_DONATOR	
[4/19/23 03:00PM] No used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 03:05PM] No used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/19/23 03:06PM] No used command ::voteclaim | Player rights = CLERIC_DONATOR	
[4/19/23 03:06PM] No used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 03:06PM] No used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/19/23 03:07PM] No used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 03:07PM] No used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 03:07PM] No used command ::reward 8 | Player rights = CLERIC_DONATOR	
[4/19/23 03:07PM] No used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 03:07PM] No used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 03:18PM] No used command ::yell ass | Player rights = CLERIC_DONATOR	
[4/19/23 03:43PM] No used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] No used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 04:35PM] No used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 04:46PM] No used command ::vbos | Player rights = CLERIC_DONATOR	
[4/19/23 04:46PM] No used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] No used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] No used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 05:17PM] No used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:14PM] No used command ::donate | Player rights = CLERIC_DONATOR	
[4/19/23 06:28PM] No used command ::discord | Player rights = CLERIC_DONATOR	
[4/19/23 06:31PM] No used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 06:42PM] No used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:42PM] No used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] No used command :::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] No used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:54PM] No used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 07:13PM] No used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] No used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 05:52AM] No used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:57AM] No used command ::ref fpk merk | Player rights = CLERIC_DONATOR	
[4/20/23 05:57AM] No used command ::ref | Player rights = CLERIC_DONATOR	
[4/20/23 06:03AM] No used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:03AM] No used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] No used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] No used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] No used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] No used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:33AM] No used command ::vboss | Player rights = CLERIC_DONATOR	
