[4/15/23 08:41AM] Turtle used command ::ref | Player rights = PLAYER	
[4/15/23 08:55AM] Turtle used command ::vote | Player rights = PLAYER	
[4/15/23 08:58AM] Turtle used command ::claim | Player rights = PLAYER	
[4/15/23 08:58AM] Turtle used command ::reward | Player rights = PLAYER	
[4/15/23 08:58AM] Turtle used command ::reward 1 | Player rights = PLAYER	
[4/15/23 08:58AM] Turtle used command ::reward1 | Player rights = PLAYER	
[4/15/23 08:58AM] Turtle used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Turtle used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:11AM] Turtle used command ::reward 1 | Player rights = PLAYER	
[4/15/23 09:12AM] Turtle used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:29AM] Turtle used command ::veigar | Player rights = PLAYER	
[4/15/23 09:30AM] Turtle used command ::ninetails | Player rights = PLAYER	
[4/15/23 09:31AM] Turtle used command ::golden | Player rights = PLAYER	
[4/15/23 10:28AM] Turtle used command ::veigar | Player rights = PLAYER	
[4/15/23 10:29AM] Turtle used command ::ninetails | Player rights = PLAYER	
[4/15/23 10:30AM] Turtle used command ::meruem | Player rights = PLAYER	
[4/15/23 10:59AM] Turtle used command ::veigar | Player rights = PLAYER	
[4/17/23 02:32PM] Turtle used command ::veigar | Player rights = PLAYER	
[4/17/23 02:33PM] Turtle used command ::ninetails | Player rights = PLAYER	
[4/17/23 02:33PM] Turtle used command ::meruem | Player rights = PLAYER	
