[4/20/23 08:50PM] Ducky used command ::totem | Player rights = PLAYER	
[4/20/23 08:50PM] Ducky used command ::train | Player rights = PLAYER	
[4/20/23 08:54PM] Ducky used command ::bank | Player rights = PLAYER	
[4/20/23 08:54PM] Ducky used command ::home | Player rights = PLAYER	
[4/20/23 08:55PM] Ducky used command ::refer | Player rights = PLAYER	
[4/20/23 08:57PM] Ducky used command ::refer | Player rights = PLAYER	
[4/21/23 12:35PM] Ducky used command ::totem | Player rights = PLAYER	
[4/21/23 12:36PM] Ducky used command ::vote | Player rights = PLAYER	
[4/21/23 12:38PM] Ducky used command ::reward 1 | Player rights = PLAYER	
[4/21/23 12:43PM] Ducky used command ::youtube | Player rights = PLAYER	
[4/21/23 12:44PM] Ducky used command ::home | Player rights = PLAYER	
[4/21/23 12:47PM] Ducky used command ::reward 1 | Player rights = PLAYER	
[4/21/23 12:47PM] Ducky used command ::reward 2 | Player rights = PLAYER	
[4/21/23 12:47PM] Ducky used command ::reward 1 | Player rights = PLAYER	
[4/21/23 12:47PM] Ducky used command ::reward 1 | Player rights = PLAYER	
[4/21/23 12:47PM] Ducky used command ::reward 1 | Player rights = PLAYER	
[4/21/23 12:59PM] Ducky used command ::ref fpk merk | Player rights = PLAYER	
[4/21/23 01:00PM] Ducky used command ::home | Player rights = PLAYER	
[4/21/23 01:01PM] Ducky used command ::veigar | Player rights = PLAYER	
[4/21/23 01:08PM] Ducky used command ::vboss | Player rights = PLAYER	
[4/21/23 01:08PM] Ducky used command ::reward 1 | Player rights = PLAYER	
[4/21/23 01:09PM] Ducky used command ::vote | Player rights = PLAYER	
[4/21/23 01:09PM] Ducky used command ::claimvote | Player rights = PLAYER	
[4/21/23 01:09PM] Ducky used command ::reward 1 | Player rights = PLAYER	
[4/21/23 01:14PM] Ducky used command ::home | Player rights = PLAYER	
[4/21/23 01:19PM] Ducky used command ::home | Player rights = PLAYER	
[4/21/23 01:22PM] Ducky used command ::altar | Player rights = PLAYER	
[4/21/23 01:22PM] Ducky used command ::home | Player rights = PLAYER	
[4/21/23 01:28PM] Ducky used command ::home | Player rights = PLAYER	
[4/21/23 01:41PM] Ducky used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:42PM] Ducky used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:43PM] Ducky used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:47PM] Ducky used command ::home | Player rights = GRACEFUL_DONATOR	
