[4/17/23 11:33AM] Muddyboy used command ::veiger | Player rights = PLAYER	
[4/17/23 11:45AM] Muddyboy used command ::train | Player rights = PLAYER	
[4/17/23 11:46AM] Muddyboy used command ::home | Player rights = PLAYER	
[4/17/23 11:49AM] Muddyboy used command ::train | Player rights = PLAYER	
[4/17/23 11:51AM] Muddyboy used command ::train | Player rights = PLAYER	
[4/17/23 11:52AM] Muddyboy used command ::meruem | Player rights = PLAYER	
[4/17/23 11:53AM] Muddyboy used command ::train | Player rights = PLAYER	
[4/17/23 11:54AM] Muddyboy used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] Muddyboy used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] Muddyboy used command ::voteboss | Player rights = PLAYER	
[4/17/23 11:58AM] Muddyboy used command ::train | Player rights = PLAYER	
[4/17/23 12:00PM] Muddyboy used command ::home | Player rights = PLAYER	
[4/17/23 12:02PM] Muddyboy used command ::veigar | Player rights = PLAYER	
[4/17/23 12:03PM] Muddyboy used command ::home | Player rights = PLAYER	
[4/17/23 12:06PM] Muddyboy used command ::afk | Player rights = PLAYER	
[4/17/23 12:08PM] Muddyboy used command ::veigar | Player rights = PLAYER	
[4/17/23 12:09PM] Muddyboy used command ::meruem | Player rights = PLAYER	
[4/17/23 12:11PM] Muddyboy used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:13PM] Muddyboy used command ::golden | Player rights = PLAYER	
[4/17/23 12:15PM] Muddyboy used command ::voteboss | Player rights = PLAYER	
[4/17/23 12:17PM] Muddyboy used command ::veigar | Player rights = PLAYER	
[4/17/23 12:17PM] Muddyboy used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:18PM] Muddyboy used command ::meruem | Player rights = PLAYER	
[4/17/23 12:18PM] Muddyboy used command ::golden | Player rights = PLAYER	
[4/17/23 12:19PM] Muddyboy used command ::golden | Player rights = PLAYER	
[4/17/23 12:19PM] Muddyboy used command ::voteboss | Player rights = PLAYER	
[4/17/23 12:21PM] Muddyboy used command ::home | Player rights = PLAYER	
[4/17/23 12:32PM] Muddyboy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Muddyboy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Muddyboy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Muddyboy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Muddyboy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:50PM] Muddyboy used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 12:50PM] Muddyboy used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 01:09PM] Muddyboy used command ::ref fpk merk | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Muddyboy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Muddyboy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Muddyboy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Muddyboy used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Muddyboy used command ::shop | Player rights = CLERIC_DONATOR	
[4/17/23 01:36PM] Muddyboy used command ::afk | Player rights = CLERIC_DONATOR	
