[4/18/23 01:17PM] Darkvi used command ::reward 1 | Player rights = PLAYER	
[4/18/23 10:55PM] Darkvi used command ::reward 1 | Player rights = PLAYER	
[4/18/23 10:55PM] Darkvi used command ::reward 1 | Player rights = PLAYER	
[4/18/23 11:08PM] Darkvi used command ::train | Player rights = PLAYER	
[4/18/23 11:32PM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/18/23 11:33PM] Darkvi used command ::vote | Player rights = PLAYER	
[4/18/23 11:35PM] Darkvi used command ::veigar | Player rights = PLAYER	
[4/18/23 11:43PM] Darkvi used command ::refer | Player rights = PLAYER	
[4/18/23 11:43PM] Darkvi used command ::refer | Player rights = PLAYER	
[4/18/23 11:48PM] Darkvi used command ::teleport | Player rights = PLAYER	
[4/18/23 11:48PM] Darkvi used command ::commands | Player rights = PLAYER	
[4/18/23 11:49PM] Darkvi used command ::dr | Player rights = PLAYER	
[4/18/23 11:51PM] Darkvi used command ::mosters | Player rights = PLAYER	
[4/18/23 11:59PM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:02AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:05AM] Darkvi used command ::veigar | Player rights = PLAYER	
[4/19/23 12:14AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:18AM] Darkvi used command :::slayer | Player rights = PLAYER	
[4/19/23 12:18AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:20AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:22AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:23AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:25AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:26AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:28AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:30AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:33AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:35AM] Darkvi used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 12:55AM] Darkvi used command ::slayer | Player rights = PLAYER	
[4/19/23 01:01AM] Darkvi used command ::home | Player rights = PLAYER	
[4/19/23 02:35AM] Darkvi used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:52AM] Darkvi used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 03:08AM] Darkvi used command ::meruem | Player rights = FORSAKEN_DONATOR	
[4/19/23 03:08AM] Darkvi used command ::home | Player rights = FORSAKEN_DONATOR	
[4/19/23 12:32PM] Darkvi used command ::refer | Player rights = PLAYER	
[4/19/23 12:33PM] Darkvi used command ::train | Player rights = PLAYER	
[4/19/23 12:44PM] Darkvi used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Darkvi used command ::train | Player rights = PLAYER	
[4/19/23 12:46PM] Darkvi used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:47PM] Darkvi used command ::train | Player rights = PLAYER	
[4/19/23 12:48PM] Darkvi used command ::home | Player rights = PLAYER	
[4/19/23 12:51PM] Darkvi used command ::train | Player rights = PLAYER	
