[4/20/23 05:16PM] Ray2q11 used command ::reff | Player rights = PLAYER	
[4/20/23 05:16PM] Ray2q11 used command ::reffer | Player rights = PLAYER	
[4/20/23 05:17PM] Ray2q11 used command ::refferal | Player rights = PLAYER	
[4/20/23 05:17PM] Ray2q11 used command ::reff | Player rights = PLAYER	
[4/20/23 05:17PM] Ray2q11 used command ::reff youtube | Player rights = PLAYER	
[4/20/23 05:19PM] Ray2q11 used command ::veigar | Player rights = PLAYER	
[4/20/23 05:20PM] Ray2q11 used command ::reffer | Player rights = PLAYER	
[4/20/23 05:21PM] Ray2q11 used command ::reffer wr3ckedyou | Player rights = PLAYER	
[4/20/23 05:21PM] Ray2q11 used command ::train | Player rights = PLAYER	
[4/20/23 05:23PM] Ray2q11 used command ::::ref | Player rights = PLAYER	
[4/20/23 05:23PM] Ray2q11 used command ::ref | Player rights = PLAYER	
[4/20/23 05:25PM] Ray2q11 used command ::vote | Player rights = PLAYER	
[4/20/23 05:28PM] Ray2q11 used command ::claimvote | Player rights = PLAYER	
[4/20/23 05:29PM] Ray2q11 used command ::claimvote | Player rights = PLAYER	
[4/20/23 05:30PM] Ray2q11 used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 05:49PM] Ray2q11 used command ::veigar | Player rights = PLAYER	
[4/24/23 02:21PM] Ray2q11 used command ::vote | Player rights = PLAYER	
[4/24/23 02:23PM] Ray2q11 used command ::reward 1 all | Player rights = PLAYER	
[4/24/23 02:31PM] Ray2q11 used command ::yell are potions divine,odly ext.... one use only? | Player rights = PLAYER	
[4/24/23 02:31PM] Ray2q11 used command ::nineta | Player rights = PLAYER	
[4/24/23 02:31PM] Ray2q11 used command ::ninetails | Player rights = PLAYER	
[4/24/23 02:32PM] Ray2q11 used command ::meruem | Player rights = PLAYER	
[4/24/23 02:32PM] Ray2q11 used command ::veiar | Player rights = PLAYER	
[4/24/23 02:32PM] Ray2q11 used command ::veigar | Player rights = PLAYER	
[4/24/23 02:33PM] Ray2q11 used command ::ninetails | Player rights = PLAYER	
[4/24/23 02:34PM] Ray2q11 used command ::meruem | Player rights = PLAYER	
[4/24/23 02:47PM] Ray2q11 used command ::voteboss | Player rights = PLAYER	
[4/24/23 02:49PM] Ray2q11 used command ::veigar | Player rights = PLAYER	
[4/24/23 02:51PM] Ray2q11 used command ::ninetails | Player rights = PLAYER	
[4/24/23 02:54PM] Ray2q11 used command ::meruem | Player rights = PLAYER	
[4/24/23 02:56PM] Ray2q11 used command ::olden | Player rights = PLAYER	
[4/24/23 02:57PM] Ray2q11 used command ::golden | Player rights = PLAYER	
[4/24/23 03:01PM] Ray2q11 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:02PM] Ray2q11 used command ::slayer | Player rights = GRACEFUL_DONATOR	
