[4/21/23 02:07AM] Killua V2 used command ::skillng | Player rights = PLAYER	
[4/21/23 02:07AM] Killua V2 used command ::skill | Player rights = PLAYER	
[4/21/23 02:07AM] Killua V2 used command ::skilling | Player rights = PLAYER	
[4/21/23 02:07AM] Killua V2 used command ::agility | Player rights = PLAYER	
[4/21/23 02:07AM] Killua V2 used command ::commands | Player rights = PLAYER	
[4/21/23 02:07AM] Killua V2 used command ::afk | Player rights = PLAYER	
[4/21/23 02:11AM] Killua V2 used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 02:26AM] Killua V2 used command ::afk | Player rights = PLAYER	
[4/21/23 02:52AM] Killua V2 used command ::home | Player rights = PLAYER	
[4/21/23 08:17AM] Killua V2 used command ::Afk | Player rights = PLAYER	
[4/21/23 08:23AM] Killua V2 used command ::home | Player rights = PLAYER	
[4/22/23 04:00AM] Killua V2 used command ::afk | Player rights = PLAYER	
[4/22/23 04:15AM] Killua V2 used command ::train | Player rights = PLAYER	
[4/22/23 04:16AM] Killua V2 used command ::Train | Player rights = PLAYER	
[4/22/23 04:16AM] Killua V2 used command ::Afk | Player rights = PLAYER	
[4/22/23 07:31AM] Killua V2 used command ::train | Player rights = PLAYER	
[4/22/23 07:32AM] Killua V2 used command ::veigar | Player rights = PLAYER	
[4/22/23 07:34AM] Killua V2 used command ::ninetails | Player rights = PLAYER	
[4/22/23 07:35AM] Killua V2 used command ::train | Player rights = PLAYER	
[4/22/23 07:36AM] Killua V2 used command ::vboss | Player rights = PLAYER	
[4/22/23 07:37AM] Killua V2 used command ::train | Player rights = PLAYER	
[4/22/23 07:39AM] Killua V2 used command ::ref  | Player rights = PLAYER	
[4/22/23 07:47AM] Killua V2 used command ::elo | Player rights = PLAYER	
[4/22/23 08:02AM] Killua V2 used command ::veigar | Player rights = PLAYER	
[4/22/23 08:05AM] Killua V2 used command ::Trin | Player rights = PLAYER	
[4/22/23 08:05AM] Killua V2 used command ::train | Player rights = PLAYER	
[4/22/23 08:08AM] Killua V2 used command ::whatdrops soldier lance (special) | Player rights = PLAYER	
[4/22/23 08:15AM] Killua V2 used command ::train | Player rights = PLAYER	
[4/22/23 08:19AM] Killua V2 used command ::afk | Player rights = PLAYER	
[4/22/23 09:01AM] Killua V2 used command ::train | Player rights = PLAYER	
[4/22/23 09:02AM] Killua V2 used command :::veigar | Player rights = PLAYER	
[4/22/23 09:02AM] Killua V2 used command ::veigar | Player rights = PLAYER	
[4/22/23 09:04AM] Killua V2 used command ::train | Player rights = PLAYER	
[4/22/23 09:05AM] Killua V2 used command ::tasks | Player rights = PLAYER	
[4/22/23 09:18AM] Killua V2 used command ::home | Player rights = PLAYER	
[4/22/23 09:18AM] Killua V2 used command ::ref | Player rights = PLAYER	
[4/22/23 09:18AM] Killua V2 used command ::train | Player rights = PLAYER	
