[4/17/23 08:30PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/17/23 09:17PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/17/23 10:46PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/18/23 06:35AM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/18/23 12:59PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/18/23 08:19PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/18/23 10:45PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/19/23 01:02PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/19/23 06:25PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/20/23 05:59AM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/20/23 12:28PM] Afk Sad used command ::dropoff | Player rights = PLAYER	
[4/20/23 09:10PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/21/23 01:06AM] Afk Sad used command ::home | Player rights = PLAYER	
[4/21/23 01:07AM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/22/23 12:59PM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/23/23 12:19AM] Afk Sad used command ::afk | Player rights = PLAYER	
[4/27/23 09:56PM] Afk Sad used command ::afk | Player rights = PLAYER	
