[4/19/23 10:47AM] Raudmees used command ::train | Player rights = PLAYER	
[4/19/23 10:47AM] Raudmees used command ::ref | Player rights = PLAYER	
[4/19/23 11:39AM] Raudmees used command ::pos | Player rights = PLAYER	
[4/19/23 11:42AM] Raudmees used command ::meruem | Player rights = PLAYER	
[4/19/23 11:43AM] Raudmees used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Raudmees used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Raudmees used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Raudmees used command ::golden | Player rights = PLAYER	
[4/19/23 12:00PM] Raudmees used command ::reward | Player rights = PLAYER	
[4/19/23 12:00PM] Raudmees used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:07PM] Raudmees used command ::Bank | Player rights = PLAYER	
[4/19/23 12:09PM] Raudmees used command ::wr3cked | Player rights = PLAYER	
[4/19/23 12:13PM] Raudmees used command ::veigar | Player rights = PLAYER	
[4/19/23 12:14PM] Raudmees used command ::vboss | Player rights = PLAYER	
[4/19/23 12:14PM] Raudmees used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Raudmees used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:16PM] Raudmees used command ::meruem | Player rights = PLAYER	
[4/19/23 12:16PM] Raudmees used command ::ninetiles | Player rights = PLAYER	
[4/19/23 12:16PM] Raudmees used command ::nicetails | Player rights = PLAYER	
[4/19/23 12:16PM] Raudmees used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Raudmees used command ::golden | Player rights = PLAYER	
[4/19/23 12:17PM] Raudmees used command ::::meruem | Player rights = PLAYER	
[4/19/23 12:17PM] Raudmees used command ::mereum | Player rights = PLAYER	
[4/19/23 12:18PM] Raudmees used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Raudmees used command ::golden | Player rights = PLAYER	
[4/19/23 01:14PM] Raudmees used command ::veigar | Player rights = PLAYER	
[4/19/23 01:14PM] Raudmees used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:15PM] Raudmees used command ::meruem | Player rights = PLAYER	
[4/19/23 01:20PM] Raudmees used command ::voteboss | Player rights = PLAYER	
[4/19/23 01:22PM] Raudmees used command ::voteboss | Player rights = PLAYER	
[4/20/23 08:25PM] Raudmees used command ::ninetails | Player rights = PLAYER	
[4/25/23 09:13AM] Raudmees used command ::bank | Player rights = PLAYER	
[4/25/23 09:13AM] Raudmees used command ::bank | Player rights = PLAYER	
[4/25/23 09:20AM] Raudmees used command ::vote | Player rights = PLAYER	
[4/25/23 09:23AM] Raudmees used command ::voted | Player rights = PLAYER	
[4/25/23 09:23AM] Raudmees used command ::reward 1 | Player rights = PLAYER	
[4/25/23 09:30AM] Raudmees used command ::meruem | Player rights = PLAYER	
[4/25/23 09:32AM] Raudmees used command ::ninetails | Player rights = PLAYER	
[4/25/23 09:33AM] Raudmees used command ::meruem | Player rights = PLAYER	
