[4/16/23 05:38PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 05:39PM] Cubs used command ::Train | Player rights = PLAYER	
[4/16/23 05:51PM] Cubs used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 05:53PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/16/23 05:55PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 06:00PM] Cubs used command ::TRAIN | Player rights = PLAYER	
[4/16/23 06:23PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/16/23 06:25PM] Cubs used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:27PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 06:27PM] Cubs used command ::train | Player rights = PLAYER	
[4/16/23 06:33PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 06:40PM] Cubs used command ::Train | Player rights = PLAYER	
[4/16/23 06:47PM] Cubs used command ::Train | Player rights = PLAYER	
[4/16/23 06:51PM] Cubs used command ::train | Player rights = PLAYER	
[4/16/23 06:52PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 06:53PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/16/23 06:55PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 07:23PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/16/23 07:24PM] Cubs used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:25PM] Cubs used command ::meruem | Player rights = PLAYER	
[4/16/23 07:26PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 07:53PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/16/23 07:54PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 08:23PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/16/23 08:24PM] Cubs used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:25PM] Cubs used command ::golden | Player rights = PLAYER	
[4/16/23 08:25PM] Cubs used command ::golden | Player rights = PLAYER	
[4/16/23 08:26PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 08:56PM] Cubs used command ::Golden | Player rights = PLAYER	
[4/16/23 08:57PM] Cubs used command ::vboss | Player rights = PLAYER	
[4/16/23 08:57PM] Cubs used command ::golden | Player rights = PLAYER	
[4/16/23 08:57PM] Cubs used command ::vboss | Player rights = PLAYER	
[4/16/23 09:42PM] Cubs used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:42PM] Cubs used command ::meruem | Player rights = PLAYER	
[4/16/23 09:44PM] Cubs used command ::golden | Player rights = PLAYER	
[4/16/23 09:44PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 09:45PM] Cubs used command ::vboss | Player rights = PLAYER	
[4/16/23 09:47PM] Cubs used command ::home | Player rights = PLAYER	
[4/16/23 10:09PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/16/23 10:13PM] Cubs used command ::home | Player rights = PLAYER	
[4/17/23 01:32PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/17/23 01:33PM] Cubs used command ::ninetails | Player rights = PLAYER	
[4/17/23 01:33PM] Cubs used command ::golden | Player rights = PLAYER	
[4/17/23 01:35PM] Cubs used command ::home | Player rights = PLAYER	
[4/17/23 02:02PM] Cubs used command ::veigar | Player rights = PLAYER	
[4/17/23 03:33PM] Cubs used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:34PM] Cubs used command ::home | Player rights = PLAYER	
