[4/18/23 04:01PM] Jetfire used command ::ref fpkmerk | Player rights = PLAYER	
[4/18/23 04:02PM] Jetfire used command ::ref | Player rights = PLAYER	
[4/18/23 04:03PM] Jetfire used command ::home | Player rights = PLAYER	
[4/18/23 04:05PM] Jetfire used command ::train | Player rights = PLAYER	
[4/18/23 04:07PM] Jetfire used command ::train | Player rights = PLAYER	
[4/18/23 04:12PM] Jetfire used command ::veigar | Player rights = PLAYER	
[4/18/23 04:12PM] Jetfire used command ::train | Player rights = PLAYER	
[4/18/23 04:16PM] Jetfire used command ::home | Player rights = PLAYER	
[4/18/23 04:23PM] Jetfire used command ::zones | Player rights = PLAYER	
[4/18/23 04:41PM] Jetfire used command ::veigar | Player rights = PLAYER	
[4/18/23 04:41PM] Jetfire used command ::nin | Player rights = PLAYER	
[4/18/23 04:41PM] Jetfire used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:42PM] Jetfire used command ::meruem | Player rights = PLAYER	
[4/18/23 04:42PM] Jetfire used command ::golden | Player rights = PLAYER	
[4/18/23 04:43PM] Jetfire used command ::home | Player rights = PLAYER	
[4/18/23 04:46PM] Jetfire used command ::Dropmessage | Player rights = PLAYER	
[4/18/23 04:54PM] Jetfire used command ::dropoff | Player rights = PLAYER	
[4/18/23 04:56PM] Jetfire used command ::voteboss | Player rights = PLAYER	
[4/18/23 04:57PM] Jetfire used command ::bank | Player rights = PLAYER	
[4/18/23 04:57PM] Jetfire used command ::home | Player rights = PLAYER	
[4/19/23 09:31AM] Jetfire used command ::bank | Player rights = PLAYER	
[4/19/23 02:13PM] Jetfire used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:14PM] Jetfire used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] Jetfire used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:23PM] Jetfire used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:24PM] Jetfire used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:25PM] Jetfire used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
