[4/21/23 08:07AM] Tom used command ::train | Player rights = PLAYER	
[4/21/23 08:10AM] Tom used command ::home | Player rights = PLAYER	
[4/21/23 08:11AM] Tom used command ::home | Player rights = PLAYER	
[4/21/23 08:11AM] Tom used command ::pos | Player rights = PLAYER	
[4/21/23 08:11AM] Tom used command ::pos | Player rights = PLAYER	
[4/21/23 08:13AM] Tom used command ::train | Player rights = PLAYER	
[4/21/23 08:14AM] Tom used command ::altar | Player rights = PLAYER	
[4/21/23 08:14AM] Tom used command ::altar | Player rights = PLAYER	
[4/21/23 08:14AM] Tom used command ::home | Player rights = PLAYER	
[4/21/23 08:15AM] Tom used command ::curses | Player rights = PLAYER	
[4/21/23 08:16AM] Tom used command ::train | Player rights = PLAYER	
[4/21/23 08:22AM] Tom used command ::train | Player rights = PLAYER	
[4/21/23 08:24AM] Tom used command ::changepassword | Player rights = PLAYER	
[4/21/23 08:27AM] Tom used command ::Ref | Player rights = PLAYER	
[4/21/23 08:28AM] Tom used command ::veigar | Player rights = PLAYER	
[4/21/23 08:29AM] Tom used command ::train | Player rights = PLAYER	
[4/21/23 08:30AM] Tom used command ::mereum | Player rights = PLAYER	
[4/21/23 08:30AM] Tom used command ::meruem | Player rights = PLAYER	
[4/21/23 08:30AM] Tom used command ::fps | Player rights = PLAYER	
[4/21/23 08:31AM] Tom used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:32AM] Tom used command ::golden | Player rights = PLAYER	
[4/21/23 08:32AM] Tom used command ::veigar | Player rights = PLAYER	
[4/21/23 08:33AM] Tom used command ::vboss | Player rights = PLAYER	
[4/21/23 08:34AM] Tom used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:35AM] Tom used command ::mereum | Player rights = PLAYER	
[4/21/23 08:35AM] Tom used command ::meruem | Player rights = PLAYER	
[4/21/23 08:36AM] Tom used command ::golden | Player rights = PLAYER	
[4/21/23 08:36AM] Tom used command ::train | Player rights = PLAYER	
[4/21/23 08:37AM] Tom used command ::bank | Player rights = PLAYER	
[4/21/23 08:38AM] Tom used command ::voteboss | Player rights = PLAYER	
[4/21/23 08:38AM] Tom used command ::train | Player rights = PLAYER	
[4/21/23 08:39AM] Tom used command ::Veigar | Player rights = PLAYER	
[4/21/23 08:40AM] Tom used command ::Vboss | Player rights = PLAYER	
[4/21/23 08:41AM] Tom used command ::hide | Player rights = PLAYER	
[4/21/23 08:41AM] Tom used command ::hideall | Player rights = PLAYER	
[4/21/23 08:41AM] Tom used command ::fps | Player rights = PLAYER	
[4/21/23 08:41AM] Tom used command ::train | Player rights = PLAYER	
[4/21/23 08:42AM] Tom used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:44AM] Tom used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:45AM] Tom used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:45AM] Tom used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:46AM] Tom used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:49AM] Tom used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:49AM] Tom used command ::bank | Player rights = GRACEFUL_DONATOR	
