[4/17/23 10:32AM] Pijin used command ::veigar | Player rights = PLAYER	
[4/17/23 10:32AM] Pijin used command ::veigar | Player rights = PLAYER	
[4/17/23 10:33AM] Pijin used command ::veigar | Player rights = PLAYER	
[4/17/23 10:35AM] Pijin used command ::vote | Player rights = PLAYER	
[4/17/23 10:35AM] Pijin used command ::golden | Player rights = PLAYER	
[4/17/23 10:37AM] Pijin used command ::reward 1 | Player rights = PLAYER	
[4/17/23 10:37AM] Pijin used command ::reward 1 | Player rights = PLAYER	
[4/17/23 10:37AM] Pijin used command ::reward 1 | Player rights = PLAYER	
[4/17/23 10:37AM] Pijin used command ::reff walkchaos | Player rights = PLAYER	
[4/17/23 10:38AM] Pijin used command ::reff walkchaos | Player rights = PLAYER	
[4/17/23 11:02AM] Pijin used command ::veigar | Player rights = PLAYER	
[4/17/23 11:03AM] Pijin used command ::meruem | Player rights = PLAYER	
[4/17/23 11:04AM] Pijin used command ::progression | Player rights = PLAYER	
[4/17/23 11:04AM] Pijin used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:05AM] Pijin used command ::golden | Player rights = PLAYER	
[4/17/23 11:09AM] Pijin used command ::meruem | Player rights = PLAYER	
[4/17/23 11:10AM] Pijin used command ::meruem | Player rights = PLAYER	
[4/17/23 11:27AM] Pijin used command ::commands | Player rights = PLAYER	
[4/17/23 11:32AM] Pijin used command ::veigar | Player rights = PLAYER	
[4/17/23 11:33AM] Pijin used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:49AM] Pijin used command ::fpk | Player rights = PLAYER	
[4/17/23 11:54AM] Pijin used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] Pijin used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] Pijin used command ::voteboss | Player rights = PLAYER	
[4/17/23 11:59AM] Pijin used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Pijin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Pijin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Pijin used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Pijin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Pijin used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Pijin used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] Pijin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Pijin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Pijin used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Pijin used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Pijin used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] Pijin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Pijin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Pijin used command ::mureum | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Pijin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Pijin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Pijin used command ::donatorperks | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Pijin used command ::perks | Player rights = CLERIC_DONATOR	
[4/18/23 09:28AM] Pijin used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 09:29AM] Pijin used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Pijin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Pijin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:46AM] Pijin used command ::ref fpk merk | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Pijin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Pijin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Pijin used command ::veigar | Player rights = CLERIC_DONATOR	
