[4/15/23 11:44AM] Kau used command ::train | Player rights = PLAYER	
[4/15/23 11:45AM] Kau used command ::starter | Player rights = PLAYER	
[4/15/23 11:45AM] Kau used command ::commands | Player rights = PLAYER	
[4/15/23 11:58AM] Kau used command ::vote | Player rights = PLAYER	
[4/15/23 11:59AM] Kau used command ::claimvotes | Player rights = PLAYER	
[4/15/23 11:59AM] Kau used command ::veigar | Player rights = PLAYER	
[4/15/23 11:59AM] Kau used command ::claimvote | Player rights = PLAYER	
[4/15/23 12:00PM] Kau used command ::reward 1 | Player rights = PLAYER	
[4/15/23 12:00PM] Kau used command ::voted | Player rights = PLAYER	
[4/15/23 12:00PM] Kau used command ::commands | Player rights = PLAYER	
[4/15/23 12:00PM] Kau used command ::train | Player rights = PLAYER	
[4/15/23 12:01PM] Kau used command ::donate | Player rights = PLAYER	
[4/15/23 12:09PM] Kau used command ::ref | Player rights = PLAYER	
[4/15/23 12:11PM] Kau used command ::train | Player rights = PLAYER	
[4/15/23 12:29PM] Kau used command ::veigar | Player rights = PLAYER	
[4/15/23 02:29PM] Kau used command ::vergue | Player rights = PLAYER	
[4/15/23 02:29PM] Kau used command ::commands | Player rights = PLAYER	
[4/16/23 06:08AM] Kau used command ::vote | Player rights = PLAYER	
[4/16/23 06:09AM] Kau used command ::claimvote | Player rights = PLAYER	
[4/16/23 06:09AM] Kau used command ::voted | Player rights = PLAYER	
[4/16/23 06:09AM] Kau used command ::reward 1 | Player rights = PLAYER	
[4/16/23 06:09AM] Kau used command ::reward 1 | Player rights = PLAYER	
[4/16/23 06:19AM] Kau used command ::veigar | Player rights = PLAYER	
[4/16/23 06:19AM] Kau used command ::donate | Player rights = PLAYER	
[4/16/23 06:31AM] Kau used command ::vboss | Player rights = PLAYER	
[4/16/23 06:33AM] Kau used command ::vboss | Player rights = PLAYER	
[4/18/23 04:07PM] Kau used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11PM] Kau used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Kau used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Kau used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:28PM] Kau used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:31PM] Kau used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:31PM] Kau used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:31PM] Kau used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:49PM] Kau used command ::yell no but i am | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:54PM] Kau used command ::donator | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:54PM] Kau used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Kau used command ::voeboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Kau used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:08PM] Kau used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:12PM] Kau used command ::Weigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:12PM] Kau used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:13PM] Kau used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:14PM] Kau used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:14PM] Kau used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:29PM] Kau used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:40PM] Kau used command ::commands | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Kau used command ::whatdrops aoe | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Kau used command ::aoe | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Kau used command ::multi | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Kau used command ::whatdrops perk | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Kau used command ::aoe | Player rights = CLERIC_DONATOR	
[4/19/23 02:54PM] Kau used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 02:54PM] Kau used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:54PM] Kau used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:56PM] Kau used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 02:59PM] Kau used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 03:07PM] Kau used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:18PM] Kau used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 03:20PM] Kau used command ::redeem 1 | Player rights = CLERIC_DONATOR	
[4/19/23 03:20PM] Kau used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 03:20PM] Kau used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 03:20PM] Kau used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 11:02AM] Kau used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:25PM] Kau used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 02:26PM] Kau used command ::claimvote 3 | Player rights = CLERIC_DONATOR	
[4/21/23 02:26PM] Kau used command ::claimvote 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:26PM] Kau used command ::rward 3 | Player rights = CLERIC_DONATOR	
[4/21/23 02:26PM] Kau used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:26PM] Kau used command ::reward 2 | Player rights = CLERIC_DONATOR	
[4/21/23 02:27PM] Kau used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:27PM] Kau used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:27PM] Kau used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Kau used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:35PM] Kau used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:36PM] Kau used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:37PM] Kau used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:43PM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 02:46PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:46PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:47PM] Kau used command ::vboss\ | Player rights = TORMENTED_DONATOR	
[4/21/23 02:47PM] Kau used command ::vboss\ | Player rights = TORMENTED_DONATOR	
[4/21/23 02:47PM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 02:50PM] Kau used command ::donate | Player rights = TORMENTED_DONATOR	
[4/21/23 02:54PM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 03:02PM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 03:02PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:04PM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 03:07PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:34PM] Kau used command ::noble | Player rights = TORMENTED_DONATOR	
[4/21/23 03:35PM] Kau used command ::raids | Player rights = TORMENTED_DONATOR	
[4/21/23 04:01PM] Kau used command ::elo | Player rights = TORMENTED_DONATOR	
[4/21/23 04:03PM] Kau used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 04:03PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 04:04PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 04:07PM] Kau used command ::yell live @ ::noble rolling for giveaway now! | Player rights = TORMENTED_DONATOR	
[4/21/23 04:27PM] Kau used command ::yell give away being drawn @ ::noble | Player rights = TORMENTED_DONATOR	
[4/21/23 04:30PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 04:31PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 04:38PM] Kau used command ::yell Giveaway @::noble come say hi to daddy peep and mommy noble! | Player rights = TORMENTED_DONATOR	
[4/21/23 04:38PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 04:38PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 04:43PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 04:46PM] Kau used command ::yell giveaway soon at @::noble double draw! | Player rights = TORMENTED_DONATOR	
[4/21/23 04:48PM] Kau used command ::yell double giveaway happening now @::noble | Player rights = TORMENTED_DONATOR	
[4/21/23 04:50PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 04:59PM] Kau used command ::yell yasuda sythe giveaway @ ::noble not ::noblw he cant spell | Player rights = TORMENTED_DONATOR	
[4/21/23 05:02PM] Kau used command ::yell yasuda sythe giveaway @ ::noble | Player rights = TORMENTED_DONATOR	
[4/21/23 05:05PM] Kau used command ::yell drawing yasuda sythe @ ::noble come join! | Player rights = TORMENTED_DONATOR	
[4/21/23 05:06PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:06PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:07PM] Kau used command ::yell give away happening @ ::noble | Player rights = TORMENTED_DONATOR	
[4/21/23 05:08PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:09PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:09PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:24PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:36PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:41PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 05:42PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:43PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:44PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:03PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:06PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:08PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:13PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:16PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:19PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:20PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:23PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:25PM] Kau used command ::donate | Player rights = TORMENTED_DONATOR	
[4/21/23 06:27PM] Kau used command ::donate | Player rights = TORMENTED_DONATOR	
[4/21/23 06:28PM] Kau used command ::done | Player rights = TORMENTED_DONATOR	
[4/21/23 06:28PM] Kau used command ::donate | Player rights = TORMENTED_DONATOR	
