[4/15/23 08:01PM] Immortal used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 08:13PM] Immortal used command ::Starter | Player rights = PLAYER	
[4/15/23 08:19PM] Immortal used command ::pos | Player rights = PLAYER	
[4/15/23 08:28PM] Immortal used command ::veigar | Player rights = PLAYER	
[4/15/23 08:30PM] Immortal used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:32PM] Immortal used command ::meruem | Player rights = PLAYER	
[4/15/23 08:33PM] Immortal used command ::Golden | Player rights = PLAYER	
[4/15/23 08:58PM] Immortal used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:00PM] Immortal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:00PM] Immortal used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:02PM] Immortal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:03PM] Immortal used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:04PM] Immortal used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:14PM] Immortal used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29PM] Immortal used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Immortal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Immortal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:40PM] Immortal used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:45PM] Immortal used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:45PM] Immortal used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:45PM] Immortal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:46PM] Immortal used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:46PM] Immortal used command ::Shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:46PM] Immortal used command ::Shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:54PM] Immortal used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:56PM] Immortal used command ::Totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58PM] Immortal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Immortal used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Immortal used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Immortal used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Immortal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Immortal used command ::Bankl | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Immortal used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Immortal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:39PM] Immortal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Immortal used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:00PM] Immortal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:04PM] Immortal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:04PM] Immortal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:07PM] Immortal used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Immortal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Immortal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:24PM] Immortal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:24PM] Immortal used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:25PM] Immortal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:25PM] Immortal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Immortal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Immortal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Immortal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Immortal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Immortal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Immortal used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:28PM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:32PM] Immortal used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/15/23 11:39PM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:40PM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:42PM] Immortal used command ::totem | Player rights = CLERIC_DONATOR	
[4/15/23 11:43PM] Immortal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:45PM] Immortal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:50PM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:51PM] Immortal used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 11:52PM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:52PM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:52PM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:53PM] Immortal used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:55PM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:57PM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:59PM] Immortal used command ::max | Player rights = CLERIC_DONATOR	
[4/15/23 11:59PM] Immortal used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 12:03AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:03AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:03AM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:04AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:08AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:08AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:10AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:12AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:15AM] Immortal used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/16/23 12:19AM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:21AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:23AM] Immortal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24AM] Immortal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] Immortal used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:29AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:31AM] Immortal used command ::pos | Player rights = CLERIC_DONATOR	
