[4/20/23 06:04PM] Fk used command ::reward 1 | Player rights = PLAYER	
[4/20/23 06:04PM] Fk used command ::reward 1 | Player rights = PLAYER	
[4/20/23 06:04PM] Fk used command ::reward 1 | Player rights = PLAYER	
[4/20/23 06:04PM] Fk used command ::reward 1 | Player rights = PLAYER	
[4/21/23 11:39PM] Fk used command ::voteboss | Player rights = PLAYER	
[4/21/23 11:39PM] Fk used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 04:24PM] Fk used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 04:32PM] Fk used command ::vboss::veigar | Player rights = PLAYER	
[4/22/23 04:33PM] Fk used command ::veigar | Player rights = PLAYER	
[4/22/23 04:34PM] Fk used command ::ninetails | Player rights = PLAYER	
[4/22/23 04:35PM] Fk used command ::meruem | Player rights = PLAYER	
[4/22/23 04:36PM] Fk used command ::vboss | Player rights = PLAYER	
[4/22/23 06:33PM] Fk used command ::veigar | Player rights = PLAYER	
[4/22/23 06:34PM] Fk used command ::ninetails | Player rights = PLAYER	
[4/22/23 06:35PM] Fk used command ::meruem | Player rights = PLAYER	
[4/24/23 01:55AM] Fk used command ::reward 1 all | Player rights = PLAYER	
[4/24/23 02:10AM] Fk used command ::vboss | Player rights = PLAYER	
[4/24/23 02:31AM] Fk used command ::veigar | Player rights = PLAYER	
[4/24/23 02:33AM] Fk used command ::ninetails | Player rights = PLAYER	
[4/24/23 02:34AM] Fk used command ::meruem | Player rights = PLAYER	
[4/24/23 11:32AM] Fk used command ::veigar | Player rights = PLAYER	
[4/24/23 11:32AM] Fk used command ::ninetails | Player rights = PLAYER	
[4/24/23 12:31PM] Fk used command ::veigar | Player rights = PLAYER	
[4/24/23 12:32PM] Fk used command ::ninetails | Player rights = PLAYER	
[4/24/23 12:33PM] Fk used command ::meruem | Player rights = PLAYER	
[4/24/23 12:34PM] Fk used command ::golden | Player rights = PLAYER	
[4/24/23 04:31PM] Fk used command ::veigar | Player rights = PLAYER	
[4/24/23 04:32PM] Fk used command ::ninetails | Player rights = PLAYER	
[4/24/23 04:34PM] Fk used command ::meruem | Player rights = PLAYER	
[4/24/23 06:32PM] Fk used command ::veigar | Player rights = PLAYER	
[4/24/23 06:32PM] Fk used command ::ninetails | Player rights = PLAYER	
[4/24/23 06:34PM] Fk used command ::meruem | Player rights = PLAYER	
[4/24/23 06:35PM] Fk used command ::golden | Player rights = PLAYER	
[4/25/23 01:33AM] Fk used command ::afk | Player rights = PLAYER	
[4/25/23 04:51AM] Fk used command ::reward 1 all | Player rights = PLAYER	
