[4/15/23 08:29AM] Login. ip: 14.137.26.28, mac: Default string20210316074501.000000+780, uuid: 00-FF-32-9A-30-4E	
[4/15/23 08:32AM] DEFAULT|2224,3758,0|Said: Walky trying to trade ya brother	
[4/15/23 08:32AM] DEFAULT|2224,3758,0|Said: Big fff	
[4/15/23 08:35AM] DEFAULT|2224,3760,0|Said: Your hideing trades	
[4/15/23 08:36AM] DEFAULT|2225,3760,0|Said: Man i been trying to get traded for 5 min	
[4/15/23 09:39AM] Login. ip: 14.137.26.28, mac: Default string20210316074501.000000+780, uuid: 00-FF-32-9A-30-4E	
[4/15/23 09:40AM] Receiving item from trade with Walkchaos Id: 10029, amount: 1	
[4/15/23 09:40AM] DEFAULT|2223,3761,0|Said: Tyvm brother	
[4/15/23 09:44AM] Picked up gr.Item Blurite Boots, amount: 1	
[4/15/23 09:45AM] Picked up gr.Item Blurite Ring, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Boots, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Body, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Legs, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Gloves, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Cannon, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Cape, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Staff, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Blade, amount: 1	
[4/15/23 09:45AM] Player dropping item: Starter Defender, amount: 1	
[4/15/23 09:46AM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 09:46AM] Picked up gr.Item Blurite Helm, amount: 1	
[4/15/23 09:46AM] Picked up gr.Item Blurite Helm, amount: 1	
[4/15/23 09:50AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/15/23 09:51AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/15/23 09:54AM] Picked up gr.Item Imperial ring, amount: 1	
[4/15/23 09:55AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/15/23 09:55AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/15/23 09:55AM] Picked up gr.Item Imperial Box, amount: 1	
[4/15/23 09:55AM] Picked up gr.Item Imperial Box, amount: 1	
[4/15/23 09:56AM] Picked up gr.Item Imperial legs, amount: 1	
[4/15/23 09:57AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/15/23 09:57AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/15/23 09:59AM] Picked up gr.Item Imperial legs, amount: 1	
[4/15/23 10:00AM] Picked up gr.Item Imperial gloves, amount: 1	
