[4/23/23 11:03AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 12:00PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 12:32PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 01:33PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 01:56PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 01:58PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 02:00PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 02:10PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 02:21PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 02:23PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 03:12PM] (CC) Help. Said: Wut should i get first from afk shop?	
[4/23/23 03:47PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/24/23 01:46PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/24/23 04:36PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
