[4/23/23 08:29AM] Login. ip: 109.169.109.39, mac: MSB908HCS010545620200905050729.000000+060, uuid: B6-D5-BD-96-9E-9D	
[4/23/23 08:31AM] (CC) Help. Said: Any ref?	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 3090, amount: 1	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 3086, amount: 1	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 1033, amount: 1	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 2736, amount: 5	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 23020, amount: 2	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 15359, amount: 1	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 15358, amount: 1	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 995, amount: 2000000	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 17818, amount: 100	
[4/23/23 08:34AM] Gave item in trade to Hellotittie. Id: 3025, amount: 100	
[4/23/23 09:44AM] Login. ip: 109.169.109.39, mac: MSB908HCS010545620200905050729.000000+060, uuid: B6-D5-BD-96-9E-9D	
[4/23/23 09:44AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/23/23 09:44AM] Picked up gr.Item Vote scroll, amount: 3	
[4/23/23 09:45AM] Gave item in trade to Hellotittie. Id: 10946, amount: 5	
[4/23/23 09:45AM] Gave item in trade to Hellotittie. Id: 23020, amount: 3	
[4/23/23 09:52AM] Player dropping item: Starter Boots, amount: 1	
[4/23/23 09:54AM] Login. ip: 109.169.109.39, mac: MSB908HCS010545620200905050729.000000+060, uuid: B6-D5-BD-96-9E-9D	
[4/23/23 10:06AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 10:06AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 10:06AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 10:06AM] Picked up gr.Item Coin, amount: 100	
