[4/22/23 09:51PM] Login. ip: 75.97.206.64, mac: CND902414920220503200128.000000-300, uuid: B0-0C-D1-81-91-16	
[4/22/23 09:54PM] (CC) Help. Said: Just joined the ref doesn't work?	
[4/22/23 09:56PM] Login. ip: 75.97.206.64, mac: CND902414920220503200128.000000-300, uuid: B0-0C-D1-81-91-16	
[4/22/23 09:57PM] DEFAULT|2229,3760,0|Said: So confused ref noble doesn't work	
[4/22/23 09:57PM] DEFAULT|2229,3762,0|Said: Nothin	
[4/22/23 09:58PM] DEFAULT|2229,3759,0|Said: No	
[4/22/23 09:58PM] DEFAULT|2229,3759,0|Said: Just joined watching nobledefeats ultimate beginner guide	
[4/22/23 09:59PM] DEFAULT|2229,3759,0|Said: Oh there we go	
[4/22/23 09:59PM] DEFAULT|2229,3759,0|Said: That one worked tyvm	
[4/22/23 10:00PM] Receiving item from trade with O T T E R Id: 15645, amount: 1	
[4/22/23 10:00PM] Receiving item from trade with O T T E R Id: 15646, amount: 1	
[4/22/23 10:00PM] Receiving item from trade with O T T E R Id: 19481, amount: 1	
[4/22/23 10:00PM] Receiving item from trade with O T T E R Id: 15647, amount: 1	
[4/22/23 10:00PM] DEFAULT|2231,3761,0|Said: Ty bro	
[4/22/23 10:02PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 10:02PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 10:02PM] Picked up gr.Item Coin, amount: 200	
[4/22/23 10:02PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 10:02PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 10:02PM] Picked up gr.Item Lava bones, amount: 8	
[4/22/23 10:02PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 10:02PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 10:02PM] PROGRESSION_ZONES|3032,10280,0|Said: Llveigar	
[4/22/23 10:04PM] Picked up gr.Item Lava bones, amount: 50	
[4/22/23 10:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 10:07PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 10:08PM] Picked up gr.Item Coin, amount: 600	
[4/22/23 10:08PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 10:08PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/22/23 10:08PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 10:08PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 10:08PM] Picked up gr.Item Coin, amount: 200	
[4/22/23 10:08PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 10:08PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 10:08PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 10:08PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 10:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 10:08PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 10:08PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 10:08PM] Picked up gr.Item Coin, amount: 200	
[4/22/23 10:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 10:10PM] Picked up gr.Item Coin, amount: 1200	
[4/22/23 10:10PM] Picked up gr.Item Lava bones, amount: 10	
[4/22/23 10:10PM] Picked up gr.Item Coin, amount: 300	
[4/22/23 10:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 10:10PM] Picked up gr.Item Coin, amount: 1200	
[4/22/23 10:10PM] Picked up gr.Item Lava bones, amount: 12	
[4/22/23 10:10PM] Picked up gr.Item Lava bones, amount: 12	
[4/22/23 10:10PM] Picked up gr.Item Coin, amount: 1800	
[4/22/23 10:10PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 10:10PM] Picked up gr.Item Coin, amount: 300	
[4/22/23 10:10PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 10:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 10:12PM] Picked up gr.Item Coin, amount: 1200	
[4/22/23 10:12PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 10:12PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 10:12PM] Picked up gr.Item Lava bones, amount: 9	
[4/22/23 10:12PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/22/23 10:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 10:12PM] Picked up gr.Item Lava bones, amount: 9	
[4/22/23 10:12PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 10:12PM] Picked up gr.Item Coin, amount: 800	
[4/22/23 10:12PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 10:12PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 10:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 10:13PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/22/23 10:13PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/22/23 10:13PM] Picked up gr.Item Coin, amount: 800	
[4/22/23 10:13PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 10:13PM] Picked up gr.Item Lava bones, amount: 9	
[4/22/23 10:13PM] Picked up gr.Item Coin, amount: 1200	
[4/22/23 10:13PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 10:13PM] Picked up gr.Item Lava bones, amount: 9	
