[4/21/23 03:47PM] Login. ip: 24.176.101.49, mac: Default string20210116012558.000000-300, uuid: D4-5D-64-1B-E4-6B	
[4/21/23 03:48PM] (CC) Help. Said: Hello	
[4/21/23 03:48PM] Player dropping item: Starter Helm, amount: 1	
[4/21/23 03:48PM] Player dropping item: Starter Body, amount: 1	
[4/21/23 03:48PM] Player dropping item: Starter Legs, amount: 1	
[4/21/23 03:48PM] Picked up gr.Item Starter Helm, amount: 1	
[4/21/23 03:48PM] Picked up gr.Item Starter Body, amount: 1	
[4/21/23 03:48PM] Picked up gr.Item Starter Legs, amount: 1	
[4/21/23 03:49PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:49PM] (CC) Help. Said: Whats free?	
[4/21/23 03:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:49PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:50PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:50PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:51PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:51PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:52PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:52PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:53PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:53PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:54PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:55PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 03:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:55PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:56PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:57PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:57PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:57PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:57PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:57PM] (CC) Help. Said: Any referal codes or anything for new people?	
[4/21/23 03:59PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:59PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:59PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:59PM] Picked up gr.Item Lava bones, amount: 1	
