[4/20/23 01:59PM] Login. ip: 68.83.33.50, mac: 40HBV1220210626130145.000000-300, uuid: 34-17-EB-9C-AB-7A	
[4/20/23 02:02PM] Player dropping item: Starter Helm, amount: 1	
[4/20/23 02:02PM] Player dropping item: Starter Body, amount: 1	
[4/20/23 02:02PM] Player dropping item: Starter Legs, amount: 1	
[4/20/23 02:20PM] Picked up gr.Item Coin, amount: 2379745	
[4/20/23 02:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 02:20PM] GLOBAL_BOSS|2142,5013,8|Said: Meh	
[4/20/23 02:22PM] Picked up gr.Item Coin, amount: 2148098	
[4/20/23 02:22PM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 02:22PM] GLOBAL_BOSS|2141,5019,12|Said: Meh	
[4/20/23 02:36PM] Receiving item from trade with Voki Id: 8806, amount: 1	
[4/20/23 02:36PM] Receiving item from trade with Voki Id: 8808, amount: 1	
[4/20/23 02:36PM] Receiving item from trade with Voki Id: 8807, amount: 1	
[4/20/23 02:36PM] Receiving item from trade with Voki Id: 10865, amount: 1	
[4/20/23 02:36PM] Receiving item from trade with Voki Id: 8819, amount: 1	
[4/20/23 02:45PM] DEFAULT|2223,3758,0|Said: Yo	
[4/20/23 02:50PM] Picked up gr.Item Coin, amount: 1214084	
[4/20/23 02:50PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 02:53PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 02:53PM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 02:54PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 02:54PM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 03:14PM] DEFAULT|2224,3749,0|Said: Fukkers	
[4/20/23 03:14PM] DEFAULT|2224,3749,0|Said: Hah	
[4/20/23 03:20PM] Picked up gr.Item Coin, amount: 2257154	
[4/20/23 03:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 03:21PM] Picked up gr.Item Coin, amount: 4307245	
[4/20/23 03:21PM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 03:22PM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 03:22PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 03:23PM] Picked up gr.Item Lava bones, amount: 300	
[4/20/23 03:23PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 03:51PM] Picked up gr.Item Coin, amount: 2365947	
[4/20/23 03:51PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 04:20PM] Picked up gr.Item Coin, amount: 2168994	
[4/20/23 04:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 04:22PM] Picked up gr.Item Coin, amount: 2226477	
[4/20/23 04:22PM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 04:45PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 04:45PM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 04:50PM] Picked up gr.Item Coin, amount: 1685883	
[4/20/23 04:50PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 05:20PM] Picked up gr.Item Coin, amount: 1395951	
[4/20/23 05:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 05:21PM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 05:51PM] Picked up gr.Item Coin, amount: 2225698	
[4/20/23 05:51PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 06:20PM] Picked up gr.Item Coin, amount: 1448842	
[4/20/23 06:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 06:21PM] Picked up gr.Item Coin, amount: 4044584	
[4/20/23 06:21PM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 06:22PM] Picked up gr.Item Lava bones, amount: 1580	
[4/20/23 06:22PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 06:41PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 06:41PM] Picked up gr.Item Vote scroll, amount: 3	
