[4/20/23 07:35AM] Login. ip: 79.177.107.75, mac: 20210101014922.000000+120, uuid: 2C-FD-A1-73-83-5E	
[4/20/23 07:35AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 07:35AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 07:44AM] Picked up gr.Item Progressive Box [T1], amount: 1	
[4/20/23 07:44AM] Picked up gr.Item Imperial Box, amount: 1	
[4/20/23 07:44AM] Picked up gr.Item Imperial Box, amount: 1	
[4/20/23 07:52AM] Picked up gr.Item Coin, amount: 2398401	
[4/20/23 07:52AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 08:15AM] Gave item in trade to Blind Shit. Id: 18750, amount: 1	
[4/20/23 08:15AM] Gave item in trade to Blind Shit. Id: 23020, amount: 3	
[4/20/23 08:15AM] Gave item in trade to Blind Shit. Id: 10946, amount: 5	
[4/20/23 08:15AM] Gave item in trade to Blind Shit. Id: 18629, amount: 1	
[4/20/23 08:15AM] Gave item in trade to Blind Shit. Id: 14733, amount: 1	
[4/20/23 08:15AM] Gave item in trade to Blind Shit. Id: 2023, amount: 25	
[4/20/23 08:21AM] Picked up gr.Item Coin, amount: 1085683	
[4/20/23 08:21AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 08:35AM] Gave item in trade to Blind Shit. Id: 2023, amount: 25	
[4/20/23 08:35AM] Gave item in trade to Blind Shit. Id: 995, amount: 4483084	
[4/20/23 08:51AM] Picked up gr.Item Coin, amount: 2017369	
[4/20/23 08:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 09:27AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 09:27AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 10:20AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 10:20AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 10:22AM] Picked up gr.Item Coin, amount: 1858993	
[4/20/23 10:22AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 10:23AM] Picked up gr.Item Coin, amount: 2581845	
[4/20/23 10:23AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 10:25AM] Picked up gr.Item Coin, amount: 1404243	
[4/20/23 10:25AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 10:27AM] Picked up gr.Item Lava bones, amount: 80	
[4/20/23 10:27AM] Picked up gr.Item Coin, amount: 6464566	
[4/20/23 10:27AM] Picked up gr.Item Coin, amount: 1942477	
[4/20/23 10:27AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 10:29AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 10:29AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 10:30AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 10:30AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 10:31AM] Picked up gr.Item Lava bones, amount: 300	
[4/20/23 10:31AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 10:32AM] Picked up gr.Item Lava bones, amount: 300	
[4/20/23 10:32AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 10:33AM] Receiving item from trade with V1 Id: 23020, amount: 7	
[4/20/23 10:33AM] Receiving item from trade with V1 Id: 10946, amount: 16	
[4/20/23 10:33AM] Receiving item from trade with V1 Id: 2023, amount: 695	
[4/20/23 10:33AM] Receiving item from trade with V1 Id: 995, amount: 16534525	
[4/20/23 10:34AM] Gave item in trade to Blind Shit. Id: 995, amount: 32804018	
[4/20/23 10:34AM] Gave item in trade to Blind Shit. Id: 2023, amount: 1715	
[4/20/23 10:34AM] Gave item in trade to Blind Shit. Id: 10946, amount: 32	
[4/20/23 10:34AM] Gave item in trade to Blind Shit. Id: 23020, amount: 13	
[4/20/23 10:36AM] Picked up gr.Item Coin, amount: 1117548	
[4/20/23 10:36AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 10:38AM] Picked up gr.Item Coin, amount: 1779377	
[4/20/23 10:38AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 10:40AM] Picked up gr.Item Coin, amount: 2205670	
[4/20/23 10:40AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 10:41AM] Picked up gr.Item Coin, amount: 2396731	
[4/20/23 10:41AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 10:43AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 10:44AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 10:45AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 10:46AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 10:46AM] Receiving item from trade with V1 Id: 10946, amount: 2	
[4/20/23 10:46AM] Receiving item from trade with V1 Id: 2023, amount: 330	
[4/20/23 10:46AM] Receiving item from trade with V1 Id: 10835, amount: 10737	
[4/20/23 10:47AM] Gave item in trade to Blind Shit. Id: 10946, amount: 4	
[4/20/23 10:47AM] Gave item in trade to Blind Shit. Id: 10835, amount: 10737	
[4/20/23 10:47AM] Gave item in trade to Blind Shit. Id: 995, amount: 7499326	
[4/20/23 10:47AM] Gave item in trade to Blind Shit. Id: 2023, amount: 660	
[4/20/23 10:48AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 10:48AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 10:51AM] Picked up gr.Item Coin, amount: 1630925	
[4/20/23 10:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 10:55AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 10:55AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 10:57AM] Gave item in trade to Blind Shit. Id: 10946, amount: 10	
[4/20/23 10:57AM] Gave item in trade to Blind Shit. Id: 23020, amount: 6	
[4/20/23 11:21AM] Picked up gr.Item Coin, amount: 1683192	
[4/20/23 11:21AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 11:22AM] Picked up gr.Item Coin, amount: 3883420	
[4/20/23 11:22AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 11:23AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 11:23AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 11:24AM] Gave item in trade to Blind Shit. Id: 10946, amount: 1	
[4/20/23 11:24AM] Gave item in trade to Blind Shit. Id: 995, amount: 7197537	
[4/20/23 11:24AM] Gave item in trade to Blind Shit. Id: 2023, amount: 190	
[4/20/23 11:25AM] DEFAULT|2222,3747,0|Said: :hops	
[4/20/23 11:29AM] Receiving item from trade with Blind Shit Id: 1265, amount: 1	
[4/20/23 11:15PM] Login. ip: 79.177.107.75, mac: 20210101014922.000000+120, uuid: 2C-FD-A1-73-83-5E	
[4/20/23 11:34PM] Picked up gr.Item Coin, amount: 1705292	
[4/20/23 11:34PM] Picked up gr.Item Lava bones, amount: 25	
