[4/16/23 05:56AM] Login. ip: 176.93.41.31, mac: NHQAREL00113202599340020211216233149.000000+120, uuid: 76-4C-A1-60-13-B9	
[4/16/23 05:58AM] Picked up gr.Item Imperial body, amount: 1	
[4/16/23 05:59AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 05:59AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 05:59AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 05:59AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 06:00AM] Player dropping item: Starter Body, amount: 1	
[4/16/23 06:00AM] Player dropping item: Starter Helm, amount: 1	
[4/16/23 06:00AM] Player dropping item: Starter Legs, amount: 1	
[4/16/23 06:02AM] Picked up gr.Item Blurite Cape, amount: 1	
[4/16/23 06:03AM] Player dropping item: Starter Gloves, amount: 1	
[4/16/23 06:03AM] Player dropping item: Starter Boots, amount: 1	
[4/16/23 06:04AM] Player dropping item: Starter Amulet, amount: 1	
[4/16/23 06:04AM] Player dropping item: Starter Ring, amount: 1	
[4/16/23 06:08AM] Player dropping item: Starter Defender, amount: 1	
[4/16/23 06:08AM] Player dropping item: Starter Blade, amount: 1	
[4/16/23 06:08AM] Player dropping item: Starter Cannon, amount: 1	
[4/16/23 06:08AM] Player dropping item: Imperial Minigun, amount: 1	
[4/16/23 06:08AM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/16/23 06:09AM] Player dropping item: Starter Staff, amount: 1	
[4/16/23 06:19AM] Picked up gr.Item Coin, amount: 500	
[4/16/23 06:28AM] Picked up gr.Item Coin, amount: 2307194	
[4/16/23 06:28AM] Picked up gr.Item Lava bones, amount: 25	
[4/16/23 06:29AM] Picked up gr.Item Coin, amount: 3570932	
[4/16/23 06:29AM] Picked up gr.Item Lava bones, amount: 40	
[4/16/23 06:30AM] Picked up gr.Item Lava bones, amount: 100	
[4/16/23 06:30AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 09:55AM] Login. ip: 176.93.41.31, mac: NHQAREL00113202599340020211216233149.000000+120, uuid: 76-4C-A1-60-13-B9	
[4/17/23 10:00AM] Player bought 23144 x 1 from A Fatality's pos shop for 6500 Billions	
[4/17/23 10:00AM] Player bought 14734 x 1 from A Fatality's pos shop for 3500 Billions	
[4/17/23 10:00AM] Player bought 8819 x 1 from A Fatality's pos shop for 4500 Billions	
[4/17/23 10:01AM] Player bought 14733 x 1 from Slayer's pos shop for 4000 Billions	
[4/17/23 10:03AM] (CC) Help. Said: Pc coll? :d	
[4/17/23 10:04AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/17/23 10:04AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/17/23 10:05AM] Picked up gr.Item Imperial ring, amount: 1	
[4/17/23 10:29AM] Login. ip: 176.93.41.31, mac: NHQAREL00113202599340020211216233149.000000+120, uuid: 76-4C-A1-60-13-B9	
[4/17/23 10:33AM] Login. ip: 176.93.41.31, mac: NHQAREL00113202599340020211216233149.000000+120, uuid: 76-4C-A1-60-13-B9	
[4/17/23 10:33AM] Picked up gr.Item Coin, amount: 1010731	
