[4/16/23 01:53PM] Login. ip: 206.172.252.145, mac: To be filled by O.E.M.20211104193737.000000-300, uuid: EA-4E-06-A5-F1-8B	
[4/16/23 01:55PM] Picked up gr.Item Lava bones, amount: 50	
[4/16/23 01:58PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/16/23 01:58PM] Picked up gr.Item Vote scroll, amount: 6	
[4/16/23 01:58PM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 01:58PM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 01:58PM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 01:58PM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 01:58PM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 01:59PM] Receiving item from trade with Lilmane Id: 18001, amount: 1	
[4/16/23 01:59PM] Receiving item from trade with Lilmane Id: 19986, amount: 1	
[4/16/23 01:59PM] Receiving item from trade with Lilmane Id: 20086, amount: 1	
[4/16/23 01:59PM] Receiving item from trade with Lilmane Id: 20091, amount: 1	
[4/16/23 01:59PM] Receiving item from trade with Lilmane Id: 17999, amount: 1	
[4/16/23 01:59PM] Receiving item from trade with Lilmane Id: 19989, amount: 1	
[4/16/23 02:00PM] Player dropping item: Starter Body, amount: 1	
[4/16/23 02:00PM] Player dropping item: Starter Helm, amount: 1	
[4/16/23 02:00PM] Player dropping item: Starter Legs, amount: 1	
[4/16/23 02:00PM] Player dropping item: Starter Gloves, amount: 1	
[4/16/23 02:00PM] Player dropping item: Starter Boots, amount: 1	
[4/16/23 02:01PM] Player dropping item: Starter Blade, amount: 1	
[4/16/23 02:02PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:06PM] Picked up gr.Item Coin, amount: 600	
[4/16/23 02:07PM] Player dropping item: Starter Cape, amount: 1	
[4/16/23 02:07PM] Player dropping item: Starter Ring, amount: 1	
[4/16/23 02:10PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/16/23 02:11PM] Player dropping item: Blurite Bow, amount: 1	
[4/16/23 02:11PM] Picked up gr.Item Blurite Bow, amount: 1	
[4/16/23 02:12PM] Receiving item from trade with Lilmane Id: 23055, amount: 1	
[4/16/23 02:12PM] Receiving item from trade with Lilmane Id: 23050, amount: 1	
[4/16/23 02:17PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/16/23 02:18PM] Picked up gr.Item Lava bones, amount: 13	
[4/16/23 02:18PM] Picked up gr.Item Coin, amount: 1000	
[4/16/23 02:18PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/16/23 02:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:18PM] Picked up gr.Item Coin, amount: 3000	
[4/16/23 02:18PM] Picked up gr.Item Coin, amount: 2000	
[4/16/23 02:18PM] Picked up gr.Item Lava bones, amount: 14	
[4/16/23 02:18PM] Picked up gr.Item Coin, amount: 1000	
[4/16/23 02:19PM] Picked up gr.Item Lava bones, amount: 8	
[4/16/23 02:19PM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 02:21PM] Picked up gr.Item Coin, amount: 2400	
[4/16/23 02:21PM] Picked up gr.Item Coin, amount: 3200	
[4/16/23 02:21PM] Picked up gr.Item Lava bones, amount: 5	
[4/16/23 02:22PM] Picked up gr.Item Coin, amount: 2400	
[4/16/23 02:22PM] Picked up gr.Item Lava bones, amount: 2	
