[4/16/23 12:11PM] Login. ip: 91.129.111.194, mac: CND94460B220221216011315.000000+120, uuid: C0-E4-34-34-89-3B	
[4/16/23 12:18PM] Player dropping item: Starter Amulet, amount: 1	
[4/16/23 12:18PM] Player dropping item: Starter Ring, amount: 1	
[4/16/23 12:21PM] Player dropping item: Starter Boots, amount: 1	
[4/16/23 12:21PM] Player dropping item: Starter Gloves, amount: 1	
[4/16/23 12:22PM] Player dropping item: Starter Body, amount: 1	
[4/16/23 12:25PM] Picked up gr.Item Coin, amount: 2388012	
[4/16/23 12:25PM] Picked up gr.Item Lava bones, amount: 25	
[4/16/23 12:25PM] Player dropping item: Starter Helm, amount: 1	
[4/16/23 12:26PM] Player dropping item: Starter Legs, amount: 1	
[4/16/23 12:26PM] Picked up gr.Item Coin, amount: 500	
[4/16/23 12:27PM] Picked up gr.Item Coin, amount: 500	
[4/16/23 12:29PM] Player dropping item: Starter Defender, amount: 1	
[4/16/23 12:29PM] Player dropping item: Starter Staff, amount: 1	
[4/16/23 12:29PM] Player dropping item: Starter Blade, amount: 1	
