[4/15/23 11:01AM] Login. ip: 82.12.114.64, mac: S4PBGC720210320192124.000000+000, uuid: 44-37-E6-B4-49-65	
[4/15/23 11:01AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:01AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:02AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:02AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:02AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:02AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:02AM] Picked up gr.Item Blurite Ring, amount: 1	
[4/15/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:03AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:03AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:03AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:04AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:04AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 11:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:04AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:05AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:05AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:05AM] (CC) Help. Said: Is there are reffal code/	
[4/15/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:05AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:05AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:06AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:06AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:06AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:07AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:07AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 11:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:07AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:07AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:07AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:07AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 11:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:09AM] Picked up gr.Item Lava bones, amount: 5	
[4/15/23 11:09AM] Picked up gr.Item Coin, amount: 1000	
[4/15/23 11:11AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 11:11AM] Picked up gr.Item Coin, amount: 600	
[4/15/23 11:11AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 11:11AM] Picked up gr.Item Coin, amount: 600	
[4/15/23 11:11AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 11:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:14AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 11:14AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 11:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:15AM] (CC) Help. Said: How claim vote	
[4/15/23 11:16AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:16AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 11:16AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:17AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:17AM] (CC) Help. Said: Is there are collectors amulet?	
[4/15/23 11:21AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 11:21AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 11:22AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 11:23AM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 11:23AM] Picked up gr.Item Blurite Ring, amount: 1	
[4/15/23 11:24AM] Picked up gr.Item Coin, amount: 500	
[4/15/23 11:25AM] Picked up gr.Item Blurite Cape, amount: 1	
[4/15/23 11:25AM] Picked up gr.Item Coin, amount: 500	
[4/15/23 11:26AM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/15/23 11:26AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 11:26AM] Picked up gr.Item Coin, amount: 1000	
[4/15/23 11:27AM] Picked up gr.Item Blurite Legs, amount: 1	
[4/15/23 11:27AM] Picked up gr.Item Coin, amount: 2500	
[4/15/23 11:27AM] Picked up gr.Item Lava bones, amount: 7	
[4/15/23 11:27AM] Picked up gr.Item Coin, amount: 3500	
[4/15/23 11:27AM] Picked up gr.Item Blurite Cape, amount: 1	
[4/15/23 11:29AM] Picked up gr.Item Coin, amount: 2176888	
[4/15/23 11:29AM] Picked up gr.Item Lava bones, amount: 25	
[4/15/23 11:39AM] (CC) Help. Said: How i can teleport to mosters ?#	
[4/15/23 11:41AM] Picked up gr.Item Imperial helm, amount: 1	
[4/15/23 11:42AM] Picked up gr.Item Revenant whip, amount: 1	
[4/15/23 11:43AM] (CC) Help. Said: How much collector amulet?	
