[4/23/23 01:21a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 01:22a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 01:57a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 03:37a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 03:38a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 03:57a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 04:26a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 04:29a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 04:30a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 04:40a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 05:10a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 05:11a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 05:14a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 05:16a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
[4/23/23 05:25a.m.] Login. ip: 127.0.0.1, mac: Default string20230402162957.000000-240, uuid: 7C-50-79-3F-3E-D6	
