[4/16/23 02:51PM] Login. ip: 188.24.30.97, mac: 20210808143742.000000+120, uuid: 00-26-B9-73-46-FB	
[4/16/23 02:53PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:54PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:54PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:54PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:54PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:55PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:55PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:55PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:55PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:56PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 02:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:57PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 02:57PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 02:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:57PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 02:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:57PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 02:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:57PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 02:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 02:59PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 02:59PM] Picked up gr.Item Coin, amount: 600	
[4/16/23 02:59PM] Picked up gr.Item Lava bones, amount: 3	
[4/16/23 03:00PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 03:00PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 03:00PM] Picked up gr.Item Coin, amount: 800	
[4/16/23 03:00PM] Picked up gr.Item Lava bones, amount: 4	
[4/16/23 03:00PM] Picked up gr.Item Coin, amount: 800	
[4/16/23 03:00PM] Picked up gr.Item Lava bones, amount: 4	
[4/16/23 03:00PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 03:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 03:01PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 03:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 03:13PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 03:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 03:14PM] Picked up gr.Item Coin, amount: 600	
[4/16/23 03:14PM] Picked up gr.Item Coin, amount: 300	
