[4/15/23 03:35AM] Login. ip: 202.180.93.80, mac: AUD244014220221120132531.000000+780, uuid: B4-B5-2F-AB-9C-F3	
[4/15/23 03:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:37AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 03:41AM] Login. ip: 202.180.93.80, mac: AUD244014220221120132531.000000+780, uuid: B4-B5-2F-AB-9C-F3	
[4/15/23 03:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:41AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 03:42AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 03:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:43AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 03:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:44AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 03:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:45AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 03:45AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:45AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 03:45AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:46AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 03:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:47AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:47AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:48AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:48AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:50AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:51AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:51AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:51AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 03:51AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:51AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:51AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:52AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:53AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:54AM] Player dropping item: Vial, amount: 1	
[4/15/23 03:54AM] Player dropping item: Vial, amount: 1	
[4/15/23 03:54AM] Player dropping item: Vial, amount: 1	
[4/15/23 03:55AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 03:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:55AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:55AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 03:58AM] Login. ip: 202.180.93.80, mac: AUD244014220221120132531.000000+780, uuid: B4-B5-2F-AB-9C-F3	
[4/15/23 04:01AM] Picked up gr.Item Blurite Cape, amount: 1	
[4/15/23 04:01AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:01AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 04:02AM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 04:05AM] DEFAULT|2234,3746,0|Said: :train	
[4/15/23 04:07AM] Picked up gr.Item Lava bones, amount: 6	
[4/15/23 04:07AM] Picked up gr.Item Lava bones, amount: 7	
[4/15/23 04:08AM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 04:10AM] Picked up gr.Item Coin, amount: 800	
[4/15/23 04:18AM] Login. ip: 202.180.93.80, mac: AUD244014220221120132531.000000+780, uuid: B4-B5-2F-AB-9C-F3	
[4/15/23 01:51PM] Login. ip: 202.180.93.80, mac: AUD244014220221120132531.000000+780, uuid: B4-B5-2F-AB-9C-F3	
[4/15/23 01:52PM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 01:52PM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 01:54PM] Picked up gr.Item Coin, amount: 1500	
[4/15/23 02:02PM] Picked up gr.Item Coin, amount: 1200	
[4/15/23 02:04PM] Picked up gr.Item Imperial boots, amount: 1	
[4/15/23 02:04PM] Picked up gr.Item Coin, amount: 1800	
[4/15/23 02:04PM] Picked up gr.Item Lava bones, amount: 12	
[4/15/23 02:04PM] Picked up gr.Item Coin, amount: 2400	
[4/15/23 02:05PM] Picked up gr.Item Lava bones, amount: 10	
[4/15/23 02:06PM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 02:07PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 02:07PM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 02:07PM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 02:12PM] Player bought 2023 x 10 from Kingrock's pos shop for 100 Billions	
[4/15/23 02:12PM] Player bought 2023 x 10 from Kingrock's pos shop for 100 Billions	
[4/15/23 02:14PM] Picked up gr.Item Lava bones, amount: 5	
[4/15/23 02:14PM] Picked up gr.Item Coin, amount: 1800	
[4/15/23 02:14PM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 02:14PM] HULK|3481,3616,16|Said: Where do i get colls	
[4/15/23 02:14PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:14PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:18PM] Picked up gr.Item Imperial Box, amount: 1	
[4/15/23 02:18PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:19PM] Picked up gr.Item Coin, amount: 1400	
[4/15/23 02:19PM] Picked up gr.Item Coin, amount: 1400	
[4/15/23 02:22PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/15/23 02:22PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/15/23 02:22PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 02:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:22PM] Picked up gr.Item Coin, amount: 1400	
[4/15/23 02:22PM] Picked up gr.Item Lava bones, amount: 5	
[4/15/23 02:22PM] Picked up gr.Item Coin, amount: 2100	
[4/15/23 02:22PM] Picked up gr.Item Lava bones, amount: 6	
[4/15/23 02:22PM] Picked up gr.Item Coin, amount: 1400	
[4/15/23 02:22PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:23PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:25PM] (CC) Help. Said: Whats the path to collectors	
[4/15/23 02:25PM] Picked up gr.Item Coin, amount: 3000	
[4/15/23 02:25PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:26PM] Picked up gr.Item Coin, amount: 1500	
[4/15/23 02:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:26PM] Picked up gr.Item Coin, amount: 1500	
[4/15/23 02:27PM] Picked up gr.Item Imperial boots, amount: 1	
[4/15/23 02:28PM] Picked up gr.Item Coin, amount: 2100	
[4/15/23 02:28PM] Picked up gr.Item Lava bones, amount: 6	
[4/15/23 02:29PM] Picked up gr.Item Coin, amount: 1280798	
[4/15/23 02:29PM] Picked up gr.Item Lava bones, amount: 25	
[4/15/23 02:29PM] Picked up gr.Item Lava bones, amount: 40	
[4/15/23 02:30PM] Picked up gr.Item Lava bones, amount: 100	
[4/15/23 02:30PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/15/23 02:30PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 02:32PM] Picked up gr.Item Imperial body, amount: 1	
[4/15/23 02:33PM] Picked up gr.Item Imperial Box, amount: 1	
[4/15/23 02:35PM] Picked up gr.Item Coin, amount: 1600	
[4/15/23 02:35PM] Picked up gr.Item Lava bones, amount: 5	
