[4/20/23 12:25AM] Login. ip: 104.137.119.68, mac: 4CE7513TKP20210608093540.000000-300, uuid: E4-42-A6-DE-31-81	
[4/20/23 12:26AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:26AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:27AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:27AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:27AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:27AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:27AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:27AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:28AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:28AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:28AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:28AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:28AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:28AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:29AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:29AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:29AM] Picked up gr.Item Blurite Cape, amount: 1	
[4/20/23 12:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:29AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:29AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 12:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:30AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:30AM] Player dropping item: Starter Cape, amount: 1	
[4/20/23 12:30AM] Player dropping item: Starter Legs, amount: 1	
[4/20/23 12:30AM] Player dropping item: Starter Helm, amount: 1	
[4/20/23 12:30AM] Player dropping item: Starter Body, amount: 1	
[4/20/23 12:31AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:31AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:31AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:31AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:32AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:32AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:32AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:32AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:33AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:33AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:33AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:34AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:34AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:34AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:34AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:34AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:35AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:35AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:35AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 12:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:35AM] Player dropping item: Starter Boots, amount: 1	
[4/20/23 12:35AM] Player dropping item: Starter Gloves, amount: 1	
[4/20/23 12:36AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:36AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:36AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:36AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:37AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:37AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:37AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:37AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:37AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:38AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:38AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:38AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:38AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:39AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:39AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:39AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:39AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:39AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:40AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:40AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:40AM] Picked up gr.Item Blurite Ring, amount: 1	
[4/20/23 12:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:40AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:40AM] Player dropping item: Starter Ring, amount: 1	
[4/20/23 12:41AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:41AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:41AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:41AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:42AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:42AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:42AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:43AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:43AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 12:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:43AM] Player dropping item: Starter Amulet, amount: 1	
[4/20/23 12:44AM] Picked up gr.Item Coin, amount: 800	
[4/20/23 12:44AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 12:44AM] Picked up gr.Item Coin, amount: 800	
[4/20/23 12:44AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 12:44AM] Picked up gr.Item Coin, amount: 400	
[4/20/23 12:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:46AM] Picked up gr.Item Coin, amount: 1200	
[4/20/23 12:46AM] Picked up gr.Item Lava bones, amount: 3	
[4/20/23 12:46AM] Picked up gr.Item Coin, amount: 1600	
[4/20/23 12:46AM] Picked up gr.Item Lava bones, amount: 4	
[4/20/23 12:47AM] Picked up gr.Item Coin, amount: 400	
[4/20/23 12:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:47AM] PROGRESSION_ZONES|3045,10276,12|Said: Wr3ckedyou	
[4/20/23 12:48AM] Picked up gr.Item Coin, amount: 800	
[4/20/23 12:48AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 12:49AM] Picked up gr.Item Coin, amount: 400	
[4/20/23 12:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:49AM] Picked up gr.Item Coin, amount: 400	
[4/20/23 12:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 12:49AM] Player dropping item: Starter Cannon, amount: 1	
[4/20/23 12:49AM] Player dropping item: Starter Staff, amount: 1	
[4/20/23 12:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 12:51AM] Picked up gr.Item Coin, amount: 2421200	
[4/20/23 12:52AM] Player dropping item: Starter Blade, amount: 1	
[4/20/23 12:52AM] Picked up gr.Item Lava bones, amount: 6	
[4/20/23 12:52AM] Picked up gr.Item Lava bones, amount: 5	
[4/20/23 01:02AM] Picked up gr.Item Blurite Helm, amount: 1	
[4/20/23 01:03AM] Picked up gr.Item Blurite Body, amount: 1	
[4/20/23 01:08AM] Picked up gr.Item Imperial legs, amount: 1	
[4/20/23 01:09AM] Picked up gr.Item Imperial ring, amount: 1	
[4/20/23 01:11AM] Picked up gr.Item Imperial ring, amount: 1	
[4/20/23 01:11AM] Picked up gr.Item Coin, amount: 1400	
[4/20/23 01:12AM] Picked up gr.Item Imperial legs, amount: 1	
[4/20/23 01:12AM] Picked up gr.Item Imperial boots, amount: 1	
[4/20/23 01:19AM] Picked up gr.Item Imperial helm, amount: 1	
[4/20/23 01:19AM] Picked up gr.Item Imperial boots, amount: 1	
[4/20/23 01:20AM] Picked up gr.Item Coin, amount: 3200	
[4/20/23 01:20AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 01:20AM] Picked up gr.Item Coin, amount: 1600	
[4/20/23 01:20AM] Picked up gr.Item Coin, amount: 3200	
[4/20/23 01:20AM] Picked up gr.Item Coin, amount: 800	
[4/20/23 01:21AM] Picked up gr.Item Coin, amount: 1600	
[4/20/23 01:22AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 01:22AM] Picked up gr.Item Coin, amount: 1600	
[4/20/23 01:23AM] Picked up gr.Item Coin, amount: 4000	
[4/20/23 01:23AM] Picked up gr.Item Lava bones, amount: 5	
[4/20/23 01:25AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 01:25AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 01:25AM] Has just redeemed a $1 Scroll successfully!	
[4/20/23 01:26AM] Picked up gr.Item Imperial ring, amount: 1	
[4/20/23 01:29AM] Picked up gr.Item Imperial ring, amount: 1	
[4/20/23 01:34AM] Picked up gr.Item Imperial boots, amount: 1	
[4/20/23 01:35AM] Picked up gr.Item Imperial boots, amount: 1	
[4/20/23 01:42AM] Player bought 8807 x 1 from Okmante's pos shop for 8000 Billions	
[4/20/23 01:44AM] Picked up gr.Item Coin, amount: 1000	
[4/20/23 01:48AM] Picked up gr.Item Coin, amount: 1500	
[4/20/23 01:49AM] Picked up gr.Item Coin, amount: 1500	
[4/20/23 01:52AM] Picked up gr.Item Coin, amount: 1381351	
[4/20/23 01:52AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 01:53AM] Picked up gr.Item Coin, amount: 1500	
[4/20/23 01:53AM] Picked up gr.Item Coin, amount: 1500	
[4/20/23 01:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 01:55AM] Picked up gr.Item Coin, amount: 1500	
[4/20/23 01:55AM] Picked up gr.Item Coin, amount: 1500	
