[4/16/23 11:30PM] Login. ip: 98.248.107.68, mac: To Be Filled By O.E.M.20210313110523.000000-480, uuid: A8-A1-59-24-8C-D4	
[4/16/23 11:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:34PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:35PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:36PM] (CC) Help. Said: What is refer code?	
[4/16/23 11:36PM] (CC) Help. Said: Ty	
[4/16/23 11:36PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:37PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:39PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:39PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:39PM] (CC) Help. Said: Anything worth donating for?	
[4/16/23 11:39PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:39PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:39PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:39PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:39PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 11:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:40PM] (CC) Help. Said: When you all donated what did you dono for?	
[4/16/23 11:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:40PM] (CC) Help. Said: Got it thank you	
[4/16/23 11:40PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:41PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:41PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:41PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:41PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:42PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:42PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:42PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:42PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:42PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:42PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:42PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:42PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:43PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:43PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:43PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:43PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 11:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:44PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:44PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:44PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:44PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:44PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:44PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:44PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:44PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:45PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:45PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:45PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:45PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:45PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:45PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:45PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:46PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:46PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:46PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:47PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:47PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:47PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:48PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:48PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:48PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:48PM] Picked up gr.Item Coin, amount: 300	
[4/16/23 11:48PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:50PM] (CC) Help. Said: This gonna take me forever.... lol	
[4/16/23 11:53PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 11:53PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:53PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 11:53PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/16/23 11:53PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:54PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 11:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:54PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 11:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:54PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/16/23 11:54PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/16/23 11:54PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 11:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 11:54PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 11:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:54PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 11:54PM] Picked up gr.Item Lava bones, amount: 2	
