[4/15/23 08:13AM] Login. ip: 71.186.166.179, mac: 5CD84375CH20210424075402.000000-300, uuid: 02-BB-60-23-74-F4	
[4/15/23 08:15AM] (CC) Help. Said: What should i use antique lamp on	
[4/15/23 08:16AM] Picked up gr.Item Blurite Boots, amount: 1	
[4/15/23 08:16AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:16AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:18AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 08:18AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:18AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:18AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:18AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:18AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:18AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:18AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:18AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:19AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:19AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:19AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:19AM] (CC) Help. Said: Any commands other than ref?	
[4/15/23 08:20AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:20AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:20AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:20AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:20AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:20AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:21AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:22AM] Receiving item from trade with Walkchaos Id: 10029, amount: 1	
[4/15/23 08:22AM] DEFAULT|2222,3747,0|Said: Tysm bro	
[4/15/23 08:22AM] DEFAULT|2222,3755,0|Said: .	
[4/15/23 08:22AM] (CC) Help. Said: Ayy fire	
[4/15/23 08:24AM] (CC) Help. Said: Whats best skill to lamp?	
[4/15/23 08:25AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:25AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:25AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:25AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:25AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:25AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:26AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:26AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:26AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:26AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:26AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:26AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:26AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:26AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:26AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:26AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:27AM] Picked up gr.Item Blurite Helm, amount: 1	
[4/15/23 08:27AM] Picked up gr.Item Blurite Helm, amount: 1	
[4/15/23 08:28AM] Picked up gr.Item Blurite Legs, amount: 1	
[4/15/23 08:30AM] Picked up gr.Item Lava bones, amount: 100	
[4/15/23 08:30AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/15/23 08:30AM] Picked up gr.Item Coin, amount: 8796250	
[4/15/23 08:30AM] Picked up gr.Item Lava bones, amount: 40	
[4/15/23 08:30AM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 08:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:46AM] Picked up gr.Item Imperial Box, amount: 1	
[4/15/23 08:46AM] Picked up gr.Item Imperial Box, amount: 1	
[4/15/23 08:52AM] Picked up gr.Item Coin, amount: 3200	
[4/15/23 08:52AM] Picked up gr.Item Imperial boots, amount: 1	
[4/15/23 08:53AM] Picked up gr.Item Coin, amount: 1600	
[4/15/23 08:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:54AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:54AM] Picked up gr.Item Coin, amount: 1600	
[4/15/23 09:43AM] Picked up gr.Item Imperial Box, amount: 1	
