[4/23/23 03:53AM] Login. ip: 143.178.231.230, mac: Default string20230405122630.000000+120, uuid: 00-FF-56-97-F9-0E	
[4/23/23 03:54AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:55AM] Login. ip: 143.178.231.230, mac: Default string20230405122630.000000+120, uuid: 00-FF-56-97-F9-0E	
[4/23/23 03:55AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:57AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:57AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:58AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:58AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:58AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:58AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:59AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:59AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:00AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 04:00AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:04AM] Login. ip: 143.178.231.230, mac: Default string20230405122630.000000+120, uuid: 00-FF-56-97-F9-0E	
[4/23/23 04:04AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 04:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:05AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 04:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:05AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 04:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:05AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 04:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:05AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 04:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:07AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:08AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:08AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:08AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:08AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:08AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:08AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:08AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:08AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:08AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:08AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:14AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:14AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:14AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:14AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:14AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:14AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:15AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:15AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:15AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:15AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:15AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:15AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:16AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:16AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:16AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:16AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:16AM] Player dropping item: Starter Boots, amount: 1	
[4/23/23 04:16AM] Player dropping item: Starter Gloves, amount: 1	
[4/23/23 04:16AM] Picked up gr.Item Starter Boots, amount: 1	
[4/23/23 04:16AM] Picked up gr.Item Starter Gloves, amount: 1	
[4/23/23 04:16AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:16AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 04:16AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 04:16AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:17AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 04:17AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:17AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 04:17AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:17AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 04:17AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:18AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 04:18AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:18AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 04:18AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:18AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 04:18AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:19AM] Picked up gr.Item Coin, amount: 300	
[4/23/23 04:19AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 04:20AM] Picked up gr.Item Coin, amount: 300	
