[4/19/23 01:48PM] Login. ip: 84.192.9.100, mac: To be filled by O.E.M.20210417190742.000000+060, uuid: 2C-F0-5D-0E-42-70	
[4/19/23 01:49PM] DEFAULT|2222,3747,0|Said: Veteran hard here?	
[4/19/23 01:49PM] DEFAULT|2222,3747,0|Said: Hmmm	
[4/19/23 01:49PM] DEFAULT|2222,3747,0|Said: Noice	
[4/19/23 01:51PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:51PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:52PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:52PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:52PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:53PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:54PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:54PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:54PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:55PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:55PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:55PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 01:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:56PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 01:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:56PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 01:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:57PM] Player dropping item: Blurite Helm, amount: 1	
[4/19/23 01:57PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/19/23 01:58PM] Player dropping item: Starter Legs, amount: 1	
[4/19/23 01:58PM] Player dropping item: Starter Body, amount: 1	
[4/19/23 01:58PM] Player dropping item: Starter Helm, amount: 1	
[4/19/23 02:00PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:00PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 02:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:00PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 02:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:01PM] Player dropping item: Starter Gloves, amount: 1	
[4/19/23 02:01PM] Player dropping item: Starter Boots, amount: 1	
