[4/15/23 09:02PM] Login. ip: 208.54.177.250, mac: NHQHXAA0012160C6E9340020230105080108.000000-240, uuid: 4C-03-4F-F4-66-9A	
[4/15/23 09:03PM] Receiving item from trade with K0000 Id: 13305, amount: 1	
[4/15/23 09:03PM] Receiving item from trade with K0000 Id: 18636, amount: 1	
[4/15/23 09:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:06PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 09:06PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 09:06PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 09:06PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 09:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:06PM] Picked up gr.Item Lava bones, amount: 5	
[4/15/23 09:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:06PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 09:06PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 09:06PM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 09:07PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 09:07PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/15/23 09:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:07PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 09:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:07PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 09:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:08PM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 09:08PM] Picked up gr.Item Coin, amount: 900	
[4/15/23 09:08PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 09:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 09:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:08PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 09:08PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 09:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 09:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:08PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 09:09PM] Picked up gr.Item Blurite Box, amount: 1	
[4/15/23 09:12PM] Picked up gr.Item Blurite Box, amount: 1	
[4/15/23 09:12PM] Picked up gr.Item Blurite Box, amount: 1	
[4/15/23 09:12PM] Picked up gr.Item Coin, amount: 800	
[4/15/23 09:16PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 09:17PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:18PM] Player dropping item: Starter Amulet, amount: 1	
[4/15/23 09:18PM] Player dropping item: Starter Ring, amount: 1	
[4/15/23 09:22PM] Picked up gr.Item Coin, amount: 1500	
[4/15/23 09:23PM] Player dropping item: Vial, amount: 1	
[4/15/23 09:23PM] Picked up gr.Item Blurite Box, amount: 1	
