[4/15/23 04:24AM] Login. ip: 217.105.87.251, mac: R472501620200827173905.000000+060, uuid: 00-FF-5F-F6-ED-F9	
[4/15/23 04:39AM] Login. ip: 217.105.87.251, mac: R472501620200827173905.000000+060, uuid: 00-FF-5F-F6-ED-F9	
[4/15/23 04:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:43AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:44AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:44AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:46AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:48AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:48AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:48AM] Picked up gr.Item Blurite Legs, amount: 1	
[4/15/23 04:48AM] Player dropping item: Starter Legs, amount: 1	
[4/15/23 04:48AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:49AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:49AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:50AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:51AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:51AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:52AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:54AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:55AM] (CC) Help. Said: Does ::claimvote not work?	
[4/15/23 04:55AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:56AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:56AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:56AM] Player dropping item: Starter Helm, amount: 1	
[4/15/23 04:56AM] Player dropping item: Starter Body, amount: 1	
[4/15/23 04:57AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:57AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:58AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:59AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:59AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:00AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 05:00AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:00AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 05:00AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:01AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 05:01AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:01AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 05:01AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:01AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 05:01AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:02AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 05:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:02AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 05:02AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:03AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 05:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:03AM] Player dropping item: Starter Boots, amount: 1	
[4/15/23 05:03AM] Player dropping item: Starter Gloves, amount: 1	
[4/15/23 05:03AM] Player dropping item: Starter Cape, amount: 1	
[4/15/23 05:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:04AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 05:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:10AM] Login. ip: 217.105.87.251, mac: R472501620200827173905.000000+060, uuid: 00-FF-5F-F6-ED-F9	
[4/15/23 06:11AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:11AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 06:11AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:13AM] Picked up gr.Item Coin, amount: 600	
[4/15/23 06:13AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 06:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:17AM] Picked up gr.Item Lava bones, amount: 2	
