[4/21/23 08:36AM] Login. ip: 147.235.217.217, mac: 2N9SBG220200907234230.000000+120, uuid: 58-FB-84-27-46-16	
[4/21/23 08:38AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 08:38AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 08:40AM] Picked up gr.Item Coin, amount: 1085332	
[4/21/23 08:40AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 08:40AM] Receiving item from trade with Bright Id: 4684, amount: 1	
[4/21/23 08:40AM] Receiving item from trade with Bright Id: 23081, amount: 1	
[4/21/23 08:40AM] Receiving item from trade with Bright Id: 4686, amount: 1	
[4/21/23 08:40AM] Receiving item from trade with Bright Id: 13302, amount: 1	
[4/21/23 08:41AM] Picked up gr.Item $1 Scroll, amount: 10	
[4/21/23 08:41AM] Picked up gr.Item Vote scroll, amount: 6	
[4/21/23 08:44AM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 08:45AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 08:48AM] Gave item in trade to Bright. Id: 10946, amount: 17	
[4/21/23 08:48AM] Gave item in trade to Bright. Id: 23020, amount: 9	
[4/21/23 09:07AM] Picked up gr.Item Blurite Cape, amount: 1	
[4/21/23 09:07AM] Picked up gr.Item Blurite Cape, amount: 1	
[4/21/23 09:09AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 09:09AM] Player dropping item: Starter Amulet, amount: 1	
[4/21/23 09:09AM] Player dropping item: Starter Ring, amount: 1	
[4/21/23 09:09AM] Player dropping item: Starter Cape, amount: 1	
[4/21/23 09:10AM] Player dropping item: Starter Cannon, amount: 1	
[4/21/23 09:10AM] Player dropping item: Starter Blade, amount: 1	
[4/21/23 09:13AM] Player dropping item: Starter Boots, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 15359, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 15358, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 15355, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 15359, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 15358, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 3090, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 1033, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 3086, amount: 1	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 23020, amount: 2	
[4/21/23 09:18AM] Gave item in trade to Bright. Id: 995, amount: 1	
[4/21/23 09:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 09:42AM] Login. ip: 147.235.217.217, mac: 2N9SBG220200907234230.000000+120, uuid: 58-FB-84-27-46-16	
