[4/21/23 02:35AM] Login. ip: 88.223.201.25, mac: 20210628020219.000000+120, uuid: 58-11-22-D4-F9-A0	
[4/21/23 03:43AM] Player dropping item: Starter Cannon, amount: 1	
[4/21/23 03:43AM] Player dropping item: Starter Staff, amount: 1	
[4/21/23 03:43AM] Player dropping item: Starter Blade, amount: 1	
[4/21/23 03:43AM] Player dropping item: Starter Defender, amount: 1	
[4/21/23 03:43AM] Player dropping item: Starter Boots, amount: 1	
[4/21/23 03:43AM] Player dropping item: Super restore (4), amount: 100	
[4/21/23 03:43AM] Player dropping item: Fury shark, amount: 100	
[4/21/23 11:16PM] Login. ip: 88.223.201.25, mac: 20210628020219.000000+120, uuid: 58-11-22-D4-F9-A0	
[4/26/23 01:20AM] Login. ip: 88.223.201.25, mac: 20210628020219.000000+120, uuid: 58-11-22-D4-F9-A0	
[4/26/23 03:38AM] Login. ip: 88.223.201.25, mac: 20210628020219.000000+120, uuid: 58-11-22-D4-F9-A0	
[4/26/23 06:39AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/26/23 06:39AM] Picked up gr.Item Vote scroll, amount: 3	
[4/26/23 06:40AM] Gave item in trade to Gekyume. Id: 10946, amount: 10	
[4/26/23 06:40AM] Gave item in trade to Gekyume. Id: 23020, amount: 6	
[4/26/23 07:39AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/26/23 07:39AM] Picked up gr.Item Vote scroll, amount: 3	
[4/26/23 07:41AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/26/23 07:41AM] Picked up gr.Item Vote scroll, amount: 3	
[4/26/23 09:17AM] Player dropping item: Starter Helm, amount: 1	
[4/26/23 09:22AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/26/23 09:22AM] Gave item in trade to Gekyume. Id: 10946, amount: 15	
[4/26/23 09:22AM] Gave item in trade to Gekyume. Id: 23020, amount: 6	
[4/26/23 10:08AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/26/23 10:08AM] Picked up gr.Item Vote scroll, amount: 3	
[4/26/23 10:09AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/26/23 10:09AM] Picked up gr.Item Vote scroll, amount: 3	
[4/26/23 10:10AM] Gave item in trade to Gekyume. Id: 10946, amount: 10	
[4/26/23 10:10AM] Receiving item from trade with Gekyume Id: 23020, amount: 60	
[4/26/23 11:51AM] Gave item in trade to Gekyume. Id: 23020, amount: 66	
[4/26/23 12:45PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/26/23 12:45PM] Picked up gr.Item Vote scroll, amount: 3	
[4/26/23 12:46PM] Player dropping item: Starter Helm, amount: 1	
[4/26/23 11:39PM] Login. ip: 88.223.201.25, mac: 20210628020219.000000+120, uuid: 58-11-22-D4-F9-A0	
[4/26/23 11:45PM] Gave item in trade to Gekyume. Id: 10946, amount: 5	
[4/26/23 11:45PM] Gave item in trade to Gekyume. Id: 23020, amount: 3	
[4/26/23 11:45PM] Receiving item from trade with Gekyume Id: 5020, amount: 3562013	
[4/26/23 11:45PM] Player dropping item: Starter Gloves, amount: 1	
[4/27/23 01:39AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/27/23 01:39AM] Picked up gr.Item Vote scroll, amount: 3	
[4/27/23 03:18AM] Login. ip: 88.223.201.25, mac: 20210628020219.000000+120, uuid: 58-11-22-D4-F9-A0	
[4/27/23 04:22AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/27/23 04:22AM] Picked up gr.Item Vote scroll, amount: 3	
[4/27/23 04:22AM] Gave item in trade to Gekyume. Id: 10946, amount: 25	
[4/27/23 04:22AM] Gave item in trade to Gekyume. Id: 23020, amount: 6	
[4/27/23 04:40AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/27/23 04:40AM] Picked up gr.Item Vote scroll, amount: 3	
[4/27/23 04:41AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/27/23 04:41AM] Picked up gr.Item Vote scroll, amount: 3	
[4/27/23 04:42AM] Gave item in trade to Gekyume. Id: 23020, amount: 6	
[4/27/23 04:42AM] Gave item in trade to Gekyume. Id: 10946, amount: 10	
[4/27/23 06:32AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/27/23 06:32AM] Picked up gr.Item Vote scroll, amount: 3	
[4/27/23 06:35AM] Gave item in trade to Gekyume. Id: 10946, amount: 16	
[4/27/23 06:35AM] Gave item in trade to Gekyume. Id: 23020, amount: 3	
[4/27/23 12:28PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/27/23 12:28PM] Picked up gr.Item Vote scroll, amount: 3	
[4/27/23 12:29PM] Gave item in trade to Gekyume. Id: 23020, amount: 3	
[4/27/23 12:29PM] Gave item in trade to Gekyume. Id: 10946, amount: 16	
