[4/19/23 05:46PM] Login. ip: 172.93.207.166, mac: 20210120101303.000000-360, uuid: CA-E2-65-D0-FF-20	
[4/19/23 05:47PM] Picked up gr.Item Rune platebody (h2), amount: 1	
[4/19/23 05:48PM] DEFAULT|2223,3758,0|Said: Dafk	
[4/19/23 05:49PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 05:49PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:49PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:49PM] Picked up gr.Item Lava bones, amount: 5	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:50PM] Picked up gr.Item Lava bones, amount: 5	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:51PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 05:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:53PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:53PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:53PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 05:53PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:53PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:54PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:54PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:54PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 05:54PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 05:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:54PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:54PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:54PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:59PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:59PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:59PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 05:59PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:59PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:59PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:59PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:59PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:00PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:00PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:00PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:00PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:00PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:01PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:01PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:01PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:01PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:01PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:01PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:01PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:01PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:02PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:02PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:02PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:02PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:02PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:02PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:02PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:02PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:02PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 06:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:03PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 06:04PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:04PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 06:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:05PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 06:05PM] Picked up gr.Item Lava bones, amount: 8	
[4/19/23 06:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:05PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 06:05PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:07PM] Picked up gr.Item Coin, amount: 2400	
[4/19/23 06:07PM] Picked up gr.Item Lava bones, amount: 9	
[4/19/23 06:08PM] Picked up gr.Item Blurite Box, amount: 1	
[4/19/23 06:08PM] Picked up gr.Item Coin, amount: 2800	
[4/19/23 06:08PM] Picked up gr.Item Lava bones, amount: 10	
[4/19/23 06:08PM] Picked up gr.Item Blurite Box, amount: 1	
[4/19/23 06:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:10PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 06:10PM] Picked up gr.Item Lava bones, amount: 9	
[4/19/23 06:11PM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 06:11PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 06:11PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 06:11PM] Picked up gr.Item Coin, amount: 500	
[4/19/23 06:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 06:13PM] Picked up gr.Item Lava bones, amount: 5	
[4/19/23 06:13PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 06:13PM] Picked up gr.Item Lava bones, amount: 5	
[4/19/23 06:13PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 06:13PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/19/23 06:13PM] Picked up gr.Item Coin, amount: 500	
[4/19/23 06:13PM] Player dropping item: Coin, amount: 400	
[4/19/23 06:15PM] Picked up gr.Item Coin, amount: 1613255	
[4/19/23 06:15PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 06:15PM] Player dropping item: Coin, amount: 255	
[4/19/23 06:19PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/19/23 06:19PM] Picked up gr.Item Coin, amount: 1000	
[4/19/23 06:19PM] Player dropping item: Coin, amount: 425	
[4/19/23 06:21PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 06:21PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 06:21PM] Player dropping item: Coin, amount: 500	
[4/19/23 06:25PM] Player dropping item: Lava bones, amount: 73	
[4/19/23 06:25PM] Login. ip: 172.93.207.166, mac: 20210120101303.000000-360, uuid: CA-E2-65-D0-FF-20	
[4/19/23 06:27PM] Login. ip: 172.93.207.166, mac: 20210120101303.000000-360, uuid: CA-E2-65-D0-FF-20	
[4/19/23 06:30PM] Picked up gr.Item Sanctum Golem Pet, amount: 1	
[4/19/23 06:30PM] DEFAULT|2221,3758,0|Said: O.o	
[4/19/23 06:35PM] Login. ip: 172.93.207.166, mac: 20210120101303.000000-360, uuid: CA-E2-65-D0-FF-20	
[4/19/23 06:36PM] Login. ip: 172.93.207.166, mac: 20210120101303.000000-360, uuid: CA-E2-65-D0-FF-20	
[4/19/23 06:43PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 06:43PM] Picked up gr.Item Vote scroll, amount: 6	
[4/19/23 07:01PM] Picked up gr.Item Imperial ring, amount: 1	
[4/19/23 07:02PM] Picked up gr.Item Imperial body, amount: 1	
[4/19/23 07:02PM] Picked up gr.Item Imperial helm, amount: 1	
[4/19/23 07:04PM] Picked up gr.Item Coin, amount: 2800	
[4/19/23 07:04PM] Picked up gr.Item Imperial body, amount: 1	
[4/19/23 07:06PM] Picked up gr.Item Imperial Box, amount: 1	
[4/19/23 07:07PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 07:07PM] Picked up gr.Item Coin, amount: 1400	
[4/19/23 07:07PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 07:09PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 07:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:09PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 07:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:10PM] Player dropping item: Lava bones, amount: 2	
[4/19/23 07:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:10PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 07:10PM] Player dropping item: Lava bones, amount: 2	
[4/19/23 07:11PM] Picked up gr.Item Coin, amount: 2400	
[4/19/23 07:11PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 07:12PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 07:13PM] Picked up gr.Item Coin, amount: 5600	
[4/19/23 07:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:14PM] Picked up gr.Item Coin, amount: 1280318	
[4/19/23 07:14PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 07:14PM] Player dropping item: Lava bones, amount: 25	
[4/19/23 07:17PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 07:17PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:17PM] Player dropping item: Lava bones, amount: 2	
[4/19/23 07:17PM] Picked up gr.Item Patience legs, amount: 1	
[4/19/23 07:19PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 07:19PM] Picked up gr.Item Coin, amount: 7500	
[4/19/23 07:19PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 07:19PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 07:20PM] Picked up gr.Item Coin, amount: 7500	
[4/19/23 07:20PM] Picked up gr.Item Coin, amount: 7500	
[4/19/23 07:21PM] Picked up gr.Item Patience helm, amount: 1	
[4/19/23 07:22PM] Picked up gr.Item Coin, amount: 6000	
[4/19/23 07:23PM] Picked up gr.Item Coin, amount: 9000	
[4/19/23 07:24PM] Picked up gr.Item Coin, amount: 4500	
[4/19/23 07:24PM] Picked up gr.Item Patience helm, amount: 1	
[4/19/23 07:26PM] Player dropping item: Imperial Minigun, amount: 1	
[4/19/23 07:26PM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/19/23 07:26PM] Picked up gr.Item Patience body, amount: 1	
[4/19/23 07:26PM] Player dropping item: Imperial Minigun, amount: 1	
[4/19/23 07:30PM] Picked up gr.Item Mystic book, amount: 1	
[4/19/23 07:33PM] Picked up gr.Item Coin, amount: 6000	
[4/19/23 07:33PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 07:36PM] Picked up gr.Item Lava bones, amount: 6	
[4/19/23 07:36PM] Picked up gr.Item Mystic staff, amount: 1	
[4/19/23 07:36PM] Player dropping item: Lava bones, amount: 5	
[4/19/23 07:37PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 07:37PM] Picked up gr.Item Coin, amount: 4500	
[4/19/23 07:37PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 07:38PM] Picked up gr.Item Coin, amount: 7500	
[4/19/23 07:38PM] Picked up gr.Item Coin, amount: 4500	
[4/19/23 07:39PM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 07:39PM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 07:39PM] Player dropping item: Lava bones, amount: 8	
[4/19/23 07:39PM] Picked up gr.Item Lava bones, amount: 8	
[4/19/23 07:39PM] Player dropping item: Lava bones, amount: 8	
[4/19/23 07:39PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 07:41PM] Picked up gr.Item Coin, amount: 7500	
[4/19/23 07:42PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 07:42PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 07:46PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 07:46PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 07:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:47PM] Player dropping item: Lava bones, amount: 2	
[4/19/23 07:49PM] TRAINING_ROCK_CRAB|2708,4753,32|Said: Damn	
[4/19/23 07:49PM] TRAINING_ROCK_CRAB|2708,4753,32|Said: O.o	
[4/19/23 07:50PM] TRAINING_ROCK_CRAB|2708,4753,32|Said: Its g	
[4/19/23 07:50PM] TRAINING_ROCK_CRAB|2708,4753,32|Said: L0l	
[4/19/23 07:50PM] TRAINING_ROCK_CRAB|2708,4753,32|Said: I want that shit xd	
[4/19/23 07:50PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 07:51PM] TRAINING_ROCK_CRAB|2709,4752,32|Said: The legs	
[4/19/23 07:51PM] TRAINING_ROCK_CRAB|2709,4752,32|Said: Xd	
[4/19/23 07:51PM] Receiving item from trade with Tellur Id: 23027, amount: 1	
[4/19/23 07:51PM] Receiving item from trade with Tellur Id: 23023, amount: 1	
[4/19/23 07:51PM] Receiving item from trade with Tellur Id: 23025, amount: 1	
[4/19/23 07:51PM] TRAINING_ROCK_CRAB|2709,4752,32|Said: Tyvm :	
[4/19/23 07:51PM] TRAINING_ROCK_CRAB|2709,4752,32|Said: :d	
[4/19/23 07:54PM] Picked up gr.Item Imperial Box, amount: 1	
[4/19/23 07:54PM] Picked up gr.Item Imperial Box, amount: 1	
[4/19/23 07:54PM] HULK|3485,3618,24|Said: Samn o.o	
[4/19/23 07:54PM] HULK|3485,3618,24|Said: Oh	
[4/19/23 07:54PM] HULK|3485,3618,24|Said: Xd	
