[4/21/23 05:49AM] Login. ip: 114.78.90.114, mac: 20210510114857.000000+660, uuid: 00-FF-A8-F9-2E-DD	
[4/21/23 06:00AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:00AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:02AM] DEFAULT|2234,3746,0|Said: .	
[4/21/23 06:03AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:03AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:03AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:04AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:04AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:04AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:05AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:05AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:05AM] Login. ip: 114.78.90.114, mac: 20210510114857.000000+660, uuid: 00-FF-A8-F9-2E-DD	
[4/21/23 06:06AM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:06AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:08AM] Gave item in trade to Akali. Id: 10025, amount: 1	
[4/21/23 06:08AM] Gave item in trade to Akali. Id: 15003, amount: 1	
[4/21/23 06:09AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:09AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:09AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:09AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:09AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:09AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:09AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:09AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:09AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:09AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:10AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:10AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:10AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:10AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:10AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:10AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 06:10AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:10AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:10AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:10AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:10AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:10AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:10AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:10AM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 06:10AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:11AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:11AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 06:11AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 06:11AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:11AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:11AM] (CC) Help. Said: Live link in discord big giveaways shaking m y booty	
[4/21/23 06:13AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:14AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 06:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:14AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 06:14AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 06:14AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 06:14AM] Picked up gr.Item Coin, amount: 900	
[4/21/23 06:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 06:14AM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 06:14AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 06:14AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 06:14AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 06:14AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 06:14AM] Picked up gr.Item Coin, amount: 300	
