[4/21/23 03:10PM] Login. ip: 192.145.81.229, mac: Default string20230321113712.000000+060, uuid: 00-FF-C4-FE-E7-9B	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 1033, amount: 1	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 3090, amount: 1	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 3086, amount: 1	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 10025, amount: 1	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 14487, amount: 1	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 14487, amount: 1	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 2736, amount: 5	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 23020, amount: 2	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 15359, amount: 1	
[4/21/23 03:11PM] Gave item in trade to Boms. Id: 15358, amount: 1	
[4/21/23 03:11PM] Receiving item from trade with Boms Id: 945, amount: 1	
[4/21/23 03:11PM] Receiving item from trade with Boms Id: 815, amount: 1	
[4/21/23 03:11PM] Receiving item from trade with Boms Id: 916, amount: 2	
[4/21/23 03:11PM] Receiving item from trade with Boms Id: 919, amount: 1	
[4/21/23 03:11PM] Receiving item from trade with Boms Id: 928, amount: 1	
