[4/22/23 02:33PM] Login. ip: 94.187.10.79, mac: JBN0GR09N79848B20210505030023.000000+120, uuid: F2-C5-D3-03-80-91	
[4/22/23 02:37PM] Gave item in trade to Kalb. Id: 23057, amount: 1	
[4/22/23 02:37PM] Gave item in trade to Kalb. Id: 3086, amount: 1	
[4/22/23 02:37PM] Gave item in trade to Kalb. Id: 3090, amount: 1	
[4/22/23 02:37PM] Gave item in trade to Kalb. Id: 1033, amount: 1	
[4/22/23 02:37PM] Gave item in trade to Kalb. Id: 15359, amount: 1	
[4/22/23 02:37PM] Gave item in trade to Kalb. Id: 15358, amount: 1	
[4/22/23 02:37PM] Gave item in trade to Kalb. Id: 23020, amount: 2	
[4/22/23 02:37PM] Receiving item from trade with Kalb Id: 789, amount: 1	
[4/22/23 02:37PM] Receiving item from trade with Kalb Id: 916, amount: 1	
[4/22/23 02:37PM] Receiving item from trade with Kalb Id: 777, amount: 1	
[4/22/23 02:37PM] Receiving item from trade with Kalb Id: 16023, amount: 1	
