[4/15/23 04:22AM] Login. ip: 109.66.246.28, mac: J5N0CX10D43121B20221113112747.000000+120, uuid: 4C-ED-FB-6E-77-EA	
[4/15/23 04:23AM] (CC) Help. Said: Is server released?	
[4/15/23 04:24AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:28AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:28AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:30AM] PROGRESSION_ZONES|3038,10277,0|Said: M4	
[4/15/23 04:31AM] PROGRESSION_ZONES|3038,10277,0|Said: Got wep for 1.5b?	
[4/15/23 04:31AM] PROGRESSION_ZONES|3038,10277,0|Said: No	
[4/15/23 04:31AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:32AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:34AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:34AM] Picked up gr.Item Blurite Helm, amount: 1	
[4/15/23 04:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:34AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:36AM] (CC) Help. Said: Some1 trade whip or staff for bow	
[4/15/23 04:36AM] (CC) Help. Said: Mg*	
[4/15/23 04:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:38AM] (CC) Help. Said: How to get coll	
[4/15/23 04:38AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:38AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:38AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:38AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:59AM] Picked up gr.Item Lava bones, amount: 100	
[4/15/23 04:59AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/15/23 05:00AM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 05:01AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/15/23 05:01AM] Picked up gr.Item Vote scroll, amount: 3	
[4/15/23 05:01AM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 05:04AM] (CC) Help. Said: Why everyone left viegar	
[4/15/23 06:08AM] Login. ip: 109.66.246.28, mac: J5N0CX10D43121B20221113112747.000000+120, uuid: 4C-ED-FB-6E-77-EA	
[4/15/23 06:28AM] Login. ip: 109.66.246.28, mac: J5N0CX10D43121B20221113112747.000000+120, uuid: 4C-ED-FB-6E-77-EA	
[4/15/23 06:30AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:30AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:30AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:30AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:30AM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 06:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:31AM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/15/23 06:31AM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/15/23 06:31AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:31AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:31AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:31AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:31AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:31AM] Picked up gr.Item Lava bones, amount: 1	
