[4/22/23 02:29PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 02:33PM] Receiving item from trade with Acid Id: 14484, amount: 1	
[4/22/23 02:41PM] Receiving item from trade with Acid Id: 15359, amount: 1	
[4/22/23 02:41PM] Receiving item from trade with Acid Id: 2023, amount: 67	
[4/22/23 02:41PM] Receiving item from trade with Acid Id: 995, amount: 1008100	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 19985, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 19991, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 19992, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 19984, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 20400, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 14484, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 22175, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 22174, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 22174, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 22174, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 22174, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 19988, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 19989, amount: 1	
[4/22/23 02:42PM] Receiving item from trade with Acid Id: 19986, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Boots, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Gloves, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Staff, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Cannon, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Cape, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Helm, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Amulet, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Ring, amount: 1	
[4/22/23 02:42PM] Player dropping item: Starter Legs, amount: 1	
[4/22/23 02:43PM] Receiving item from trade with Acid Id: 19992, amount: 1	
[4/22/23 02:43PM] Receiving item from trade with Acid Id: 15358, amount: 1	
[4/22/23 02:43PM] Receiving item from trade with Acid Id: 3025, amount: 95	
[4/22/23 02:43PM] Receiving item from trade with Acid Id: 17818, amount: 89	
[4/22/23 02:43PM] Receiving item from trade with Acid Id: 19991, amount: 1	
[4/22/23 02:44PM] Player dropping item: Starter Blade, amount: 1	
